best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0728,1,27.184624433517456,1,0.0008207916632611659,0,693.2871222496033,1,0.0728
0.0792,3,25.99278450012207,1,0.0008193048079307106,0,567.1619305610657,1,0.0792
0.0801,5,25.764585494995117,1,0.0008163370843114392,0,523.8318009376526,1,0.0801
0.0801,10,25.441734075546265,1,0.0008025319369871707,5,439.4722833633423,1,0.0776
0.0801,15,25.494264841079712,1,0.0007799090346285308,10,353.6787838935852,1,0.076
0.0708,1,26.04222345352173,1,0.0004921597113644895,0,712.1157994270325,2,0.0708
0.0774,3,25.95023775100708,1,0.0004912681693045103,0,596.1826491355896,2,0.0774
0.0801,6,25.934764623641968,1,0.0004882680461719662,0,535.3320636749268,2,0.0801
0.0801,10,25.51797318458557,1,0.0004812108896173264,4,484.09229135513306,2,0.0789
0.0801,16,25.525534868240356,1,0.00046432609281673773,10,410.9407730102539,2,0.0777
0.0711,1,26.109575748443604,1,0.0006622700133985879,0,701.6641969680786,3,0.0711
0.0785,3,25.92289090156555,1,0.0006610703183435601,0,578.0952343940735,3,0.0785
0.0801,5,26.245437383651733,1,0.0006586757589820663,0,534.2605271339417,3,0.0801
0.0801,10,25.38347864151001,1,0.0006475368360219,5,458.1990032196045,3,0.0782
0.0801,15,25.883654594421387,1,0.0006292831542183555,10,383.03121066093445,3,0.0769
0.0711,1,26.045286655426025,1,0.0006651176062648775,0,701.5005974769592,4,0.0711
0.0785,3,25.617719650268555,1,0.0006639127528257899,0,577.8571124076843,4,0.0785
0.0801,5,25.66450834274292,1,0.0006615078974671684,0,534.0388479232788,4,0.0801
0.0801,10,25.493701696395874,1,0.0006503210799671351,5,457.81972312927246,4,0.0782
0.0801,15,25.178067922592163,1,0.0006319889119675743,10,382.42783522605896,4,0.0769
0.0711,1,25.833264112472534,1,0.000667387799450912,0,701.3703770637512,5,0.0711
0.0785,3,25.66461944580078,1,0.0006661788335811177,0,577.6682920455933,5,0.0785
0.0801,5,25.363359928131104,1,0.0006637657699203898,0,533.8627500534058,5,0.0801
0.0801,10,25.382642030715942,1,0.0006525407693432243,5,457.517062664032,5,0.0782
0.0801,15,25.314554691314697,1,0.0006341460296082502,10,381.9482333660126,5,0.0769
