early_stopped,epochs_run,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.n_eff,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.stage_delta_norm,macro_1.top1_max_frac,micro_1.condition_norm,micro_1.cv_usage,micro_1.dead_expert_frac,micro_1.entropy_mean,micro_1.expert_similarity_max,micro_1.expert_similarity_mean,micro_1.n_eff,micro_1.route_jitter_adjacent,micro_1.route_jitter_session,micro_1.stage_delta_norm,micro_1.top1_max_frac,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.n_eff,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,ok,0.1854,0.1601,1
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1826,0.1601,2
True,28,0.0,0.3011313065549342,0.0,2.0871236107056004,0.5560828447341919,0.30080100893974304,11.00231165579478,0.0,0.0,4.078559835814303,0.2125861640792273,0.0,0.769046123183686,0.0,1.5719722238652407,0.5127116441726685,0.02500832825899124,7.540380256880643,0.6509454949944382,0.40449264376341515,4.5357472451677125,0.3425129819427385,0.0,0.7828893830114235,0.0,1.4530159380998764,0.5827542543411255,0.09653907269239426,7.439942758809846,0.0,0.0,5.741400028347661,0.2422706821756416,0.0799,ok,0.1911,0.1628,3
True,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0799,ok,0.1909,0.1629,4
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.19,0.1626,5
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1908,0.1624,6
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0798,ok,0.1915,0.1628,7
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0786,ok,0.1846,0.1604,8
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0786,ok,0.1864,0.1617,9
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.185,0.1606,10
