early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,14,0.0033,ok,0.0,0.0,1
True,33,0.0036,ok,0.0,0.0002,2
True,26,0.0034,ok,0.0,0.0002,3
True,49,0.0187,ok,0.0258,0.0159,4
True,18,0.0035,ok,0.0029,0.0005,5
True,16,0.0047,ok,0.0,0.0,6
True,44,0.0173,ok,0.0229,0.0114,7
True,54,0.0151,ok,0.0258,0.0164,8
True,63,0.0199,ok,0.0229,0.0147,9
True,26,0.0034,ok,0.0,0.0002,10
True,45,0.016,ok,0.0229,0.0125,11
True,44,0.0169,ok,0.0258,0.0143,12
True,14,0.0048,ok,0.0,0.0001,13
True,14,0.0038,ok,0.0,0.0004,14
True,64,0.0183,ok,0.0201,0.0113,15
