early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,31,0.0088,ok,0.0086,0.0045,1
True,37,0.0067,ok,0.0086,0.0042,2
True,25,0.0036,ok,0.0057,0.0024,3
True,11,0.0011,ok,0.0,0.0004,4
True,13,0.0006,ok,0.0,0.0006,5
True,11,0.0011,ok,0.0,0.0004,6
True,16,0.0012,ok,0.0,0.0004,7
True,9,0.0011,ok,0.0,0.0004,8
True,12,0.0013,ok,0.0057,0.0013,9
True,21,0.0014,ok,0.0057,0.0015,10
True,45,0.012,ok,0.0258,0.0065,11
True,12,0.0014,ok,0.0057,0.0014,12
True,29,0.0048,ok,0.0057,0.0043,13
