early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,11,0.0049,ok,0.0,0.0005,1
True,8,0.003,ok,0.0057,0.0018,2
True,42,0.0389,ok,0.0516,0.0222,3
True,34,0.0307,ok,0.0516,0.0203,4
True,10,0.0074,ok,0.0,0.0008,5
True,9,0.0069,ok,0.0,0.0008,6
True,13,0.0049,ok,0.0,0.0002,7
True,9,0.0066,ok,0.0,0.0007,8
True,31,0.0614,ok,0.0544,0.0193,9
True,11,0.0055,ok,0.0,0.0006,10
True,42,0.0396,ok,0.0458,0.02,11
True,10,0.0044,ok,0.0,0.001,12
True,46,0.0437,ok,0.0516,0.0179,13
True,53,0.0334,ok,0.0401,0.0173,14
True,71,0.042,ok,0.0544,0.021,15
