early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
False,45,0.2024,ok,0.3193,0.1677,1
True,44,0.2013,ok,0.3034,0.1658,2
True,29,0.1961,ok,0.2974,0.1591,3
True,33,0.1985,ok,0.2994,0.1635,4
True,25,0.1896,ok,0.309,0.1574,5
True,14,0.1971,ok,0.3042,0.1625,6
True,23,0.1936,ok,0.3074,0.1606,7
True,19,0.1941,ok,0.3177,0.1618,8
True,22,0.1998,ok,0.3094,0.1606,9
False,45,0.1895,ok,0.2962,0.1577,10
True,30,0.1966,ok,0.307,0.163,11
True,14,0.197,ok,0.3157,0.1641,12
True,14,0.1907,ok,0.3066,0.1589,13
True,33,0.2007,ok,0.3137,0.1678,14
True,13,0.1856,ok,0.309,0.1581,15
True,15,0.1877,ok,0.3149,0.1612,16
False,45,0.1932,ok,0.3133,0.1585,17
True,35,0.2051,ok,0.3233,0.1665,18
True,14,0.1915,ok,0.307,0.1598,19
True,26,0.1954,ok,0.3149,0.1655,20
True,38,0.202,ok,0.3153,0.1695,21
True,23,0.186,ok,0.311,0.1555,22
False,45,0.1936,ok,0.3002,0.1642,23
False,45,0.1905,ok,0.3173,0.158,24
False,45,0.145,ok,0.2342,0.1236,25
True,41,0.198,ok,0.3165,0.1626,26
False,45,0.201,ok,0.3257,0.168,27
False,45,0.1737,ok,0.2758,0.1427,28
True,19,0.199,ok,0.3169,0.1632,29
True,18,0.1966,ok,0.3185,0.1663,30
True,38,0.1604,ok,0.261,0.1352,31
True,30,0.1942,ok,0.2994,0.1592,32
True,23,0.1877,ok,0.3189,0.1566,33
True,45,0.2008,ok,0.3034,0.1655,34
True,11,0.184,ok,0.305,0.1532,35
True,45,0.2053,ok,0.3229,0.1694,36
False,45,0.1633,ok,0.2622,0.1394,37
True,21,0.2008,ok,0.3149,0.1664,38
True,35,0.2037,ok,0.3233,0.1653,39
True,18,0.1984,ok,0.3173,0.1679,40
