early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,16,0.2989,ok,0.4627,0.2946,1
True,10,0.3156,ok,0.4913,0.3099,2
True,10,0.3312,ok,0.5116,0.3299,3
True,10,0.3323,ok,0.5115,0.3314,4
True,10,0.3226,ok,0.4959,0.3202,5
True,9,0.3412,ok,0.525,0.3421,6
True,14,0.3141,ok,0.4835,0.3081,7
True,10,0.3278,ok,0.5007,0.322,8
True,12,0.3271,ok,0.4988,0.3238,9
True,12,0.3072,ok,0.4777,0.3009,10
True,12,0.3081,ok,0.4773,0.3043,11
True,9,0.3338,ok,0.5134,0.332,12
True,9,0.3437,ok,0.5227,0.3432,13
True,12,0.3223,ok,0.4944,0.3208,14
True,9,0.332,ok,0.5076,0.3283,15
True,10,0.3396,ok,0.5096,0.3347,16
True,22,0.281,ok,0.4412,0.2754,17
True,10,0.3228,ok,0.4978,0.3204,18
True,9,0.3369,ok,0.5132,0.3338,19
True,12,0.3093,ok,0.4806,0.3077,20
True,9,0.3441,ok,0.5226,0.3435,21
True,8,0.3402,ok,0.5114,0.3368,22
True,8,0.3467,ok,0.5211,0.3479,23
True,32,0.2907,ok,0.4508,0.2869,24
True,19,0.2955,ok,0.4546,0.2909,25
True,8,0.3421,ok,0.5144,0.3426,26
True,9,0.3333,ok,0.5081,0.3321,27
True,9,0.3411,ok,0.5164,0.3391,28
True,19,0.3045,ok,0.467,0.3003,29
