early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,44,0.0168,ok,0.3371,0.3011,1
True,12,0.0132,ok,0.3348,0.3324,2
True,32,0.0166,ok,0.3012,0.2507,3
True,31,0.0116,ok,0.3337,0.317,4
True,16,0.011,ok,0.3091,0.284,5
True,21,0.0136,ok,0.3348,0.3247,6
True,37,0.0154,ok,0.327,0.2881,7
True,43,0.0134,ok,0.3449,0.3233,8
True,15,0.0116,ok,0.3225,0.3027,9
True,15,0.0118,ok,0.3359,0.3217,10
True,43,0.0171,ok,0.3359,0.3048,11
True,56,0.018,ok,0.3505,0.3231,12
True,37,0.0166,ok,0.3348,0.2896,13
True,18,0.0129,ok,0.3113,0.29,14
True,51,0.0164,ok,0.355,0.3328,15
True,14,0.0104,ok,0.3315,0.3291,16
True,14,0.0118,ok,0.3348,0.3306,17
True,13,0.0112,ok,0.2576,0.2043,18
True,32,0.0165,ok,0.3471,0.3104,19
True,32,0.0146,ok,0.3292,0.3166,20
True,40,0.0167,ok,0.3427,0.3161,21
True,12,0.0141,ok,0.3303,0.3231,22
True,26,0.0159,ok,0.3281,0.2901,23
True,11,0.0132,ok,0.3337,0.3303,24
True,31,0.015,ok,0.3124,0.2803,25
True,44,0.0156,ok,0.3494,0.3103,26
True,46,0.0152,ok,0.3337,0.2873,27
True,13,0.0141,ok,0.3371,0.3254,28
True,13,0.0116,ok,0.3203,0.295,29
True,14,0.014,ok,0.3359,0.3261,30
True,11,0.0126,ok,0.3348,0.332,31
True,43,0.0168,ok,0.3214,0.2756,32
True,11,0.0121,ok,0.3247,0.2956,33
True,11,0.0134,ok,0.3337,0.3296,34
True,14,0.0107,ok,0.2945,0.2528,35
True,14,0.0139,ok,0.3371,0.3206,36
