early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,16,0.0181,ok,0.3527,0.3397,1
True,14,0.0187,ok,0.3617,0.3413,2
True,17,0.019,ok,0.3539,0.3397,3
True,16,0.0186,ok,0.3651,0.3406,4
True,17,0.0185,ok,0.355,0.339,5
True,21,0.0187,ok,0.3595,0.3393,6
True,16,0.0191,ok,0.3583,0.3386,7
True,28,0.0197,ok,0.3595,0.3377,8
True,16,0.0185,ok,0.3572,0.3393,9
True,18,0.019,ok,0.355,0.3395,10
True,25,0.019,ok,0.355,0.3385,11
True,24,0.0188,ok,0.3494,0.3385,12
True,16,0.0184,ok,0.3651,0.3418,13
True,14,0.0184,ok,0.3617,0.3401,14
True,17,0.0179,ok,0.3606,0.3394,15
True,18,0.0201,ok,0.3561,0.3372,16
True,14,0.0199,ok,0.3606,0.3413,17
True,18,0.0191,ok,0.3561,0.3371,18
True,26,0.02,ok,0.3471,0.3365,19
True,16,0.0191,ok,0.3527,0.338,20
