best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0111,1,17.21193218231201,1,0.0005738363332935802,0,713.2776298522949,1,0.0111
0.0156,3,15.262734413146973,1,0.0005650634158786013,0,629.2345662117004,1,0.0156
0.0175,7,16.71849751472473,1,0.0005226824110936255,0,561.9148197174072,1,0.0175
0.0175,10,15.663571834564209,1,0.0004721324410279504,3,538.3616695404053,1,0.0175
0.0175,11,15.160391569137573,1,0.00045241710847611816,4,532.6741733551025,1,0.0175
0.0095,1,17.000230312347412,1,0.0004554540195009209,0,718.2483468055725,2,0.0095
0.0146,3,18.061678647994995,1,0.0004484909530870737,0,644.3291835784912,2,0.0146
0.0178,10,16.3783597946167,1,0.00037473161862852574,1,548.7309041023254,2,0.0176
0.0189,18,17.78203058242798,1,0.00023203433078675017,0,515.6727085113525,2,0.0189
0.0189,22,16.433266639709473,1,0.00015944979724882155,4,507.24083518981934,2,0.0184
0.0079,1,16.60043478012085,1,0.0002869181666467901,0,733.1705031394958,3,0.0079
0.0125,3,15.777170896530151,1,0.00028253170793930064,0,671.7589163780212,3,0.0125
0.0181,10,14.935085535049438,1,0.0002360662205139752,0,582.1073417663574,3,0.0181
0.0184,12,14.434704303741455,1,0.00021576988231078667,0,568.9232869148254,3,0.0184
0.0184,16,14.769530534744263,1,0.00017004447338271194,4,551.1675887107849,3,0.0177
0.0109,1,19.108033657073975,1,0.0007229894651810686,0,705.511956691742,4,0.0109
0.015,3,18.039554834365845,1,0.0007119362667306869,1,614.2083144187927,4,0.015
0.018,4,18.20547103881836,1,0.0007023679050911671,0,588.338888168335,4,0.018
0.018,8,18.41051435470581,1,0.0006393044757553355,4,536.4581775665283,4,0.0171
0.0117,1,15.181331157684326,1,0.0009109080390018418,0,700.432629108429,5,0.0117
0.0158,3,14.276782512664795,1,0.0008969819061741474,0,601.3535485267639,5,0.0158
0.0188,7,14.318947076797485,1,0.0008297062811923126,0,537.5534782409668,5,0.0188
0.0188,10,14.148936033248901,1,0.0007494632372570515,3,517.8667197227478,5,0.0182
0.0188,11,14.066206455230713,1,0.0007181671099972414,4,512.9442791938782,5,0.0181
0.011,1,18.495395183563232,1,0.0007229894651810686,0,704.863344669342,6,0.011
0.0148,3,18.320456743240356,1,0.0007119362667306869,1,612.8604536056519,6,0.0147
0.0189,6,18.043071269989014,1,0.000675555129950918,0,553.1048240661621,6,0.0189
0.0189,10,18.126798152923584,1,0.0005948504150551826,4,518.3052005767822,6,0.0183
0.0099,1,17.05524492263794,1,0.0005738363332935802,0,711.3988585472107,7,0.0099
0.0157,3,16.428053855895996,1,0.0005650634158786013,0,629.2964549064636,7,0.0157
0.0183,10,16.513564348220825,1,0.0004721324410279504,0,531.9065437316895,7,0.0183
0.0189,17,18.108935356140137,1,0.00031621700000000004,0,501.04869318008423,7,0.0189
0.0189,21,18.39325785636902,1,0.00022275547239906127,4,490.43411207199097,7,0.0182
0.0097,1,15.607810974121094,1,0.0002869181666467901,0,734.0901980400085,8,0.0097
0.0119,3,15.69536018371582,1,0.00028253170793930064,0,671.17720079422,8,0.0119
0.0177,10,15.862193584442139,1,0.0002360662205139752,0,582.4904508590698,8,0.0177
0.0179,11,15.316288709640503,1,0.00022620855423805908,0,575.4112377166748,8,0.0179
0.0179,15,14.577399730682373,1,0.00018187861324902828,4,555.039475440979,8,0.0176
0.013,1,17.81521701812744,1,0.0011476626857833672,0,692.7330613136292,9,0.013
0.0174,3,16.20619535446167,1,0.0011301170035418085,0,586.3241777420044,9,0.0174
0.0191,4,16.525384426116943,1,0.0011149283290913339,0,562.3085360527039,9,0.0191
0.0191,8,16.41093349456787,1,0.0010148223826400337,4,516.7300357818604,9,0.0191
0.0106,1,14.52061152458191,1,0.0007229894651810686,0,706.0099391937256,10,0.0106
0.0155,3,13.86587905883789,1,0.0007119362667306869,0,616.1069831848145,10,0.0155
0.0173,9,14.120943069458008,1,0.0006180142426551119,0,530.7887539863586,10,0.0173
0.0173,10,13.776747226715088,1,0.0005948504150551826,1,524.541971206665,10,0.0169
0.0173,13,13.687715291976929,1,0.0005161633071686925,4,509.9592933654785,10,0.0165
0.0095,1,15.3871009349823,1,0.0003614947325905343,0,724.8055901527405,11,0.0095
0.0129,3,14.134685277938843,1,0.00035596813336534347,0,663.8533568382263,11,0.0129
0.0168,10,14.664792537689209,1,0.0002974252075275913,1,567.0538387298584,11,0.0164
0.0178,15,14.702652931213379,1,0.00022915300703609264,0,541.1727843284607,11,0.0178
0.0178,19,14.067395687103271,1,0.00016925599296390735,4,529.7050642967224,11,0.0177
0.0115,1,18.270150661468506,1,0.0007229894651810686,0,705.8730382919312,12,0.0115
0.015,3,17.920658588409424,1,0.0007119362667306869,0,614.1015319824219,12,0.015
0.019,5,18.087151288986206,1,0.000690206273246301,0,568.9421153068542,12,0.019
0.019,9,18.479459285736084,1,0.0006180142426551119,4,526.2760138511658,12,0.017
0.0142,1,15.661070108413696,1,0.0009109080390018418,0,700.3121070861816,13,0.0142
0.0157,3,15.737378358840942,1,0.0008969819061741474,0,600.5760493278503,13,0.0157
0.0178,10,15.482084035873413,1,0.0007494632372570515,0,516.2629218101501,13,0.0178
0.0179,12,15.517188787460327,1,0.000685026405502357,0,506.64492321014404,13,0.0179
0.0179,16,15.316263437271118,1,0.0005398573384264997,4,492.126669883728,13,0.0176
0.0121,1,14.334444046020508,1,0.0007229894651810686,0,706.3538517951965,14,0.0121
0.0165,3,13.893102884292603,1,0.0007119362667306869,0,616.2667765617371,14,0.0165
0.0183,6,14.254144191741943,1,0.000675555129950918,0,558.2424898147583,14,0.0183
0.0183,10,12.747009754180908,1,0.0005948504150551826,4,524.7247610092163,14,0.0179
0.0081,1,17.146714687347412,1,0.0002869181666467901,0,732.3808126449585,15,0.0081
0.0127,3,16.69853925704956,1,0.00028253170793930064,0,667.3236355781555,15,0.0127
0.0176,10,17.466445446014404,1,0.0002360662205139752,0,579.8799772262573,15,0.0176
0.0187,15,16.791442394256592,1,0.00018187861324902828,0,553.0138692855835,15,0.0187
0.0187,19,17.04737424850464,1,0.00013433838675097173,4,540.7175941467285,15,0.018
0.012,1,15.141072988510132,1,0.0009109080390018418,0,700.5166068077087,16,0.012
0.0162,3,14.264443397521973,1,0.0008969819061741474,0,600.9640030860901,16,0.0162
0.019,6,14.228590726852417,1,0.0008511446269927453,0,544.5505962371826,16,0.019
0.019,10,13.834538459777832,1,0.0007494632372570515,4,513.1421151161194,16,0.018
0.0107,1,16.19273614883423,1,0.0007229894651810686,0,705.7407693862915,17,0.0107
0.0178,3,15.746128559112549,1,0.0007119362667306869,0,613.7737965583801,17,0.0178
0.019,4,15.84394884109497,1,0.0007023679050911671,0,588.4467878341675,17,0.019
0.019,8,15.71913743019104,1,0.0006393044757553355,4,536.1446509361267,17,0.0183
0.011,1,15.395825147628784,1,0.0002869181666467901,0,733.203182220459,18,0.011
0.0128,3,15.264936685562134,1,0.00028253170793930064,0,670.9562940597534,18,0.0128
0.0168,6,15.792342185974121,1,0.0002680938640036865,0,618.6873211860657,18,0.0168
0.0168,10,14.652273416519165,1,0.0002360662205139752,4,580.379177570343,18,0.0163
0.0094,1,14.3256254196167,1,0.0003614947325905343,0,725.5630259513855,19,0.0094
0.0143,3,14.058576345443726,1,0.00035596813336534347,0,658.6048722267151,19,0.0143
0.0177,10,14.094722032546997,1,0.0002974252075275913,0,567.9370565414429,19,0.0177
0.0184,17,14.302517652511597,1,0.0001992045,0,536.0064525604248,19,0.0184
0.0184,21,13.680375814437866,1,0.0001403273464156538,4,527.1789879798889,19,0.018
0.0093,1,17.039947271347046,1,0.0004554540195009209,0,717.6779131889343,20,0.0093
0.0141,3,17.495996713638306,1,0.0004484909530870737,0,646.2857623100281,20,0.0141
