early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,46,0.0538,ok,0.0344,0.0132,1
True,33,0.0156,ok,0.0287,0.009,2
True,14,0.0083,ok,0.0143,0.0027,3
True,43,0.022,ok,0.0287,0.0117,4
True,11,0.0092,ok,0.0,0.0,5
True,17,0.0111,ok,0.0172,0.0061,6
True,52,0.0205,ok,0.0458,0.0224,7
True,16,0.0036,ok,0.0029,0.0007,8
True,37,0.0107,ok,0.0229,0.0126,9
True,31,0.0135,ok,0.0143,0.0069,10
True,56,0.0248,ok,0.043,0.0148,11
True,22,0.0105,ok,0.0172,0.0078,12
True,27,0.0571,ok,0.0401,0.015,13
True,42,0.0188,ok,0.0315,0.02,14
True,50,0.0601,ok,0.0544,0.0182,15
True,25,0.0187,ok,0.0258,0.0116,16
True,65,0.0361,ok,0.0774,0.0308,17
True,28,0.0137,ok,0.0143,0.0071,18
True,59,0.0439,ok,0.0716,0.0275,19
