early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,27,0.0659,ok,0.1433,0.0587,1
True,14,0.0683,ok,0.1347,0.065,2
True,25,0.0883,ok,0.1461,0.0744,3
True,35,0.0905,ok,0.1576,0.0583,4
True,32,0.0616,ok,0.1232,0.0501,5
True,34,0.0604,ok,0.1203,0.0466,6
True,24,0.056,ok,0.1375,0.0469,7
True,23,0.0704,ok,0.1633,0.0657,8
True,24,0.0639,ok,0.1289,0.0738,9
True,19,0.069,ok,0.1461,0.0674,10
True,15,0.0546,ok,0.106,0.0464,11
True,23,0.0706,ok,0.1519,0.0619,12
True,26,0.0852,ok,0.1318,0.0599,13
False,35,0.0847,ok,0.1347,0.0788,14
True,27,0.0647,ok,0.1232,0.0565,15
True,27,0.067,ok,0.1318,0.0649,16
True,32,0.0703,ok,0.149,0.0536,17
True,18,0.0831,ok,0.1461,0.0761,18
True,18,0.0743,ok,0.1576,0.0689,19
True,21,0.0879,ok,0.1547,0.0602,20
