best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0052,1,3.0783309936523438,1,0.00035662410033939043,0,81.34504222869873,1,0.0052
0.009,3,2.0242767333984375,1,0.000351171964252936,0,77.62746334075928,1,0.009
0.0227,10,2.0341956615448,1,0.00029341782186610244,0,67.83172750473022,1,0.0227
0.0617,21,1.9965457916259766,1,0.00013843663311460079,0,59.382408618927,1,0.0617
0.0617,25,1.7109999656677246,1,8.81973143058919e-05,4,58.000515937805176,1,0.0595
0.0199,1,2.5659849643707275,1,0.000898641631139842,0,80.28006219863892,2,0.0199
0.0199,3,1.9486496448516846,1,0.00088490302945458,2,73.52217769622803,2,0.0106
0.0578,10,2.1321210861206055,1,0.0007393708664005559,0,56.30785655975342,2,0.0578
0.0653,22,2.1436984539031982,1,0.0003146052504742652,0,44.65358829498291,2,0.0653
0.0653,26,1.8744690418243408,1,0.00019578184354091587,4,43.10888338088989,2,0.0599
0.0064,1,2.0938167572021484,1,0.0005661111911575447,0,80.90346097946167,3,0.0064
0.0126,3,1.779350757598877,1,0.0005574563771634304,0,75.48914623260498,3,0.0126
0.0701,10,1.83811354637146,1,0.00046577646458944146,0,62.35401105880737,3,0.0701
0.0828,31,1.802077054977417,1,6.646362283656968e-05,0,49.89805364608765,3,0.0828
0.0828,35,1.594062089920044,1,5.6720000000000006e-05,4,49.51975727081299,3,0.0826
0.0043,1,2.395167589187622,1,0.0014264964013575617,0,79.46835660934448,4,0.0043
0.0202,3,2.2453062534332275,1,0.001404687857011744,0,70.76363372802734,4,0.0202
0.0674,10,2.3007166385650635,1,0.0011736712874644097,0,49.27190113067627,4,0.0674
0.0924,23,2.2314565181732178,1,0.0004475029429881256,0,34.18451905250549,4,0.0924
0.0924,27,2.1803300380706787,1,0.0002728308361368957,4,32.245468616485596,4,0.0922
0.0039,1,2.286893129348755,1,0.00035662410033939043,0,81.28611755371094,5,0.0039
0.0052,3,1.8056445121765137,1,0.000351171964252936,1,77.52876091003418,5,0.0047
0.0275,10,2.004993438720703,1,0.00029341782186610244,0,68.07809400558472,5,0.0275
0.0799,26,1.9698505401611328,1,7.769562570454885e-05,0,57.99764823913574,5,0.0799
0.0799,30,1.833883285522461,1,4.6588756470188345e-05,4,57.35922336578369,5,0.0799
0.006,1,2.347043514251709,1,0.0007132482006787809,0,80.73154067993164,6,0.006
0.0124,3,2.0995795726776123,1,0.000702343928505872,0,74.48117876052856,6,0.0124
0.0523,10,1.7720425128936768,1,0.0005868356437322049,2,59.21187734603882,6,0.0519
0.0693,20,1.7949895858764648,1,0.0003050367293156097,0,49.52396202087402,6,0.0693
0.0693,24,1.5180258750915527,1,0.00019924635626779514,4,47.728962898254395,6,0.0691
0.0075,1,2.128960609436035,1,0.0011322124015112958,0,79.92907524108887,7,0.0075
0.0185,3,1.7726771831512451,1,0.0011149029261114665,0,71.7871208190918,7,0.0185
0.0795,10,1.7620394229888916,1,0.0009315447173230192,0,52.92880582809448,7,0.0795
0.0929,22,1.895409345626831,1,0.0003963759899657938,0,40.58380174636841,7,0.0929
0.0929,26,1.6793591976165771,1,0.0002466685534773255,4,38.79798412322998,7,0.0912
0.0072,1,2.285862684249878,1,0.0014264964013575617,0,79.42808485031128,8,0.0072
0.0168,3,1.889390230178833,1,0.001404687857011744,0,70.0186448097229,8,0.0168
0.0852,10,1.8756003379821777,1,0.0011736712874644097,0,48.71607780456543,8,0.0852
0.0868,11,1.9336121082305908,1,0.0011246610570118745,0,46.84825086593628,8,0.0868
0.0868,15,1.650099515914917,1,0.0009042619723798698,4,40.795960903167725,8,0.0856
0.0022,1,2.219106435775757,1,0.0007132482006787809,0,80.59029769897461,9,0.0022
0.0127,3,1.8815457820892334,1,0.000702343928505872,0,74.34442710876465,9,0.0127
0.045,10,1.8374242782592773,1,0.0005868356437322049,0,59.03032445907593,9,0.045
0.068,35,1.8868741989135742,1,7.1462e-05,0,45.345768451690674,9,0.068
0.0116,1,2.0808582305908203,1,0.0007132482006787809,0,80.61388158798218,10,0.0116
0.0145,3,1.658109426498413,1,0.000702343928505872,1,74.3437328338623,10,0.0136
0.057,10,1.8494408130645752,1,0.0005868356437322049,0,59.23381519317627,10,0.057
0.0699,20,2.02204966545105,1,0.0003050367293156097,0,49.53584671020508,10,0.0699
0.0699,24,1.6462998390197754,1,0.00019924635626779514,4,47.735881328582764,10,0.0683
0.0048,1,2.2465271949768066,1,0.00035662410033939043,0,81.24550533294678,11,0.0048
0.0058,3,2.1245343685150146,1,0.000351171964252936,0,77.5471339225769,11,0.0058
0.0196,10,1.994178056716919,1,0.00029341782186610244,0,68.36696910858154,11,0.0196
0.0578,33,2.056150197982788,1,3.641689966060956e-05,0,57.063294887542725,11,0.0578
0.0578,35,1.947328805923462,1,3.5731e-05,2,56.93949604034424,11,0.0578
0.0045,1,2.6189568042755127,1,0.0011322124015112958,0,79.89449262619019,12,0.0045
0.018,3,2.2987921237945557,1,0.0011149029261114665,0,72.1391921043396,12,0.018
0.0666,10,2.269368886947632,1,0.0009315447173230192,0,52.550426959991455,12,0.0666
0.0693,11,2.26589035987854,1,0.0008926452215608997,0,50.90716028213501,12,0.0693
0.0693,15,1.790787935256958,1,0.0007177141269821728,4,45.60592079162598,12,0.0686
0.0023,1,2.1685962677001953,1,0.00035662410033939043,0,81.21212387084961,13,0.0023
0.0052,3,1.9047212600708008,1,0.000351171964252936,0,77.40115928649902,13,0.0052
0.025,10,1.9871695041656494,1,0.00029341782186610244,0,68.86802339553833,13,0.025
0.0595,35,1.8705356121063232,1,3.5731e-05,0,57.507041454315186,13,0.0595
0.0106,1,2.349033832550049,1,0.0004493158251680244,0,81.11777019500732,14,0.0106
0.0151,3,2.1725287437438965,1,0.0004424466006195929,0,76.67625761032104,14,0.0151
0.0286,10,1.9797756671905518,1,0.00036968132727234617,0,65.70355176925659,14,0.0286
0.0561,26,1.9693148136138916,1,9.788983454052169e-05,0,54.75257110595703,14,0.0561
0.0561,30,1.7537190914154053,1,5.8697843295036216e-05,4,54.03619575500488,14,0.0557
0.0034,1,2.1695191860198975,1,0.0004493158251680244,0,81.1768388748169,15,0.0034
0.0048,3,1.874338150024414,1,0.0004424466006195929,0,76.66702795028687,15,0.0048
0.0521,10,1.944723129272461,1,0.00036968132727234617,0,65.42247724533081,15,0.0521
0.0866,24,1.8931314945220947,1,0.00012551667272765388,0,55.01066446304321,15,0.0866
0.0866,28,1.7253892421722412,1,7.536116242675907e-05,4,54.060787200927734,15,0.0741
0.0079,1,1.9567677974700928,1,0.0004493158251680244,0,81.01893520355225,16,0.0079
0.0126,3,1.8098092079162598,1,0.0004424466006195929,0,76.55148077011108,16,0.0126
0.0337,10,1.800562858581543,1,0.00036968132727234617,0,65.63383197784424,16,0.0337
0.0542,18,1.8157222270965576,1,0.00022890718347156485,0,58.12011909484863,16,0.0542
0.0542,22,1.5238280296325684,1,0.00015730087814843312,4,56.21425437927246,16,0.0456
0.0044,1,2.3053219318389893,1,0.000898641631139842,0,80.29615020751953,17,0.0044
0.0109,3,2.0760180950164795,1,0.00088490302945458,0,73.39412689208984,17,0.0109
0.0634,10,2.49147367477417,1,0.0007393708664005559,0,55.89303493499756,17,0.0634
0.0706,19,2.0788471698760986,1,0.0004207543509895725,0,46.16203594207764,17,0.0706
0.0706,23,1.8812661170959473,1,0.0002819108230795518,4,43.84382152557373,17,0.069
0.0075,1,2.0368521213531494,1,0.0004493158251680244,0,81.00081539154053,18,0.0075
0.0126,3,1.81412935256958,1,0.0004424466006195929,0,76.49803018569946,18,0.0126
0.0362,10,1.7845494747161865,1,0.00036968132727234617,0,65.44028949737549,18,0.0362
0.0562,25,1.836841106414795,1,0.0001111210628144368,0,55.00081825256348,18,0.0562
0.0562,29,1.5632340908050537,1,6.625592527400014e-05,4,54.249783992767334,18,0.0561
0.005,1,2.32781720161438,1,0.0007132482006787809,0,80.63243293762207,19,0.005
0.0147,3,1.885185718536377,1,0.000702343928505872,0,74.63498497009277,19,0.0147
0.0487,10,1.944612741470337,1,0.0005868356437322049,0,59.740270137786865,19,0.0487
0.0721,22,1.9484176635742188,1,0.00024970090528773665,0,48.95221948623657,19,0.0721
0.0721,26,1.6686644554138184,1,0.0001553912514090977,4,47.603904724121094,19,0.0716
0.0084,1,2.1462056636810303,1,0.0014264964013575617,0,79.4757866859436,20,0.0084
0.0169,3,1.9387521743774414,1,0.001404687857011744,0,70.8706169128418,20,0.0169
0.0599,10,1.9007086753845215,1,0.0011736712874644097,0,49.68714952468872,20,0.0599
0.0717,12,1.9184823036193848,1,0.001072762189424527,0,46.299540519714355,20,0.0717
0.0717,16,1.7381031513214111,1,0.0008454251335356984,4,40.92505598068237,20,0.07
