early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,31,0.2003,ok,0.2838,0.1641,1
True,44,0.2059,ok,0.295,0.1645,2
True,40,0.205,ok,0.291,0.1632,3
True,37,0.2105,ok,0.3054,0.1702,4
True,37,0.203,ok,0.2926,0.1641,5
True,50,0.2088,ok,0.2958,0.1684,6
True,83,0.2049,ok,0.2854,0.1637,7
True,52,0.2053,ok,0.2994,0.1673,8
True,56,0.2111,ok,0.303,0.1729,9
True,71,0.1978,ok,0.287,0.1625,10
True,39,0.2129,ok,0.301,0.1681,11
True,91,0.2091,ok,0.2974,0.1698,12
True,68,0.1985,ok,0.2814,0.1617,13
True,79,0.2061,ok,0.289,0.1631,14
True,73,0.2052,ok,0.2878,0.1651,15
True,97,0.2104,ok,0.2986,0.17,16
True,72,0.2004,ok,0.2954,0.1636,17
True,45,0.208,ok,0.3058,0.1702,18
True,55,0.199,ok,0.2846,0.1636,19
True,36,0.2083,ok,0.2942,0.1681,20
True,41,0.2125,ok,0.3062,0.1712,21
False,100,0.1921,ok,0.2718,0.1594,22
False,100,0.1921,ok,0.2718,0.1594,23
True,45,0.2135,ok,0.3106,0.1719,24
True,69,0.2167,ok,0.3054,0.1736,25
False,100,0.1919,ok,0.2726,0.1592,26
False,100,0.2018,ok,0.2862,0.1657,27
True,69,0.2167,ok,0.3054,0.1736,28
