early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,66,0.1929,ok,0.3074,0.1612,1
True,34,0.1973,ok,0.3197,0.1691,2
True,69,0.1972,ok,0.3189,0.1662,3
True,46,0.1993,ok,0.3153,0.1647,4
True,62,0.1987,ok,0.3129,0.1652,5
True,24,0.1987,ok,0.3169,0.1654,6
True,54,0.1967,ok,0.3141,0.1661,7
True,40,0.1975,ok,0.3125,0.1636,8
True,35,0.1995,ok,0.3165,0.1661,9
True,30,0.1967,ok,0.3161,0.1661,10
True,42,0.1983,ok,0.3161,0.1649,11
True,34,0.1977,ok,0.3197,0.1693,12
True,56,0.1945,ok,0.3133,0.1649,13
True,44,0.199,ok,0.305,0.1642,14
True,21,0.1988,ok,0.3078,0.1646,15
True,25,0.1958,ok,0.3181,0.1651,16
True,85,0.1955,ok,0.3129,0.1639,17
True,31,0.198,ok,0.3201,0.167,18
