best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0709,1,27.15853500366211,1,0.0006444294763249188,0,702.7032642364502,1,0.0709
0.0784,3,26.014238834381104,1,0.0006432620992122307,0,579.6322164535522,1,0.0784
0.0801,5,25.900662183761597,1,0.0006409320456024688,0,535.6850123405457,1,0.0801
0.0801,10,25.820382833480835,1,0.0006300931881201457,5,460.6144962310791,1,0.0782
0.0801,15,25.775108098983765,1,0.0006123312324711283,10,386.86099123954773,1,0.077
0.0739,1,26.294856786727905,1,0.0010132848733256494,0,684.8255457878113,2,0.0739
0.0793,3,26.18803381919861,1,0.0010114493186013384,0,558.4527292251587,2,0.0793
0.0801,5,25.992329597473145,1,0.001007785600283744,0,515.0660753250122,2,0.0801
0.0801,10,25.670989513397217,1,0.0009907428504802992,5,422.739230632782,2,0.0771
0.0801,15,25.81635546684265,1,0.0009628143933860182,10,327.876024723053,2,0.0752
0.0733,1,26.241324186325073,1,0.0008960408011944447,0,689.7595195770264,3,0.0733
0.0792,3,26.292428970336914,1,0.0008944176328544205,0,563.2663860321045,3,0.0792
0.0801,5,26.032635927200317,1,0.0008911778321003898,0,519.9779267311096,3,0.0801
0.0801,10,25.594314336776733,1,0.0008761070463910217,5,432.2205924987793,3,0.0772
0.0801,15,25.691192150115967,1,0.0008514101050572871,10,342.2609803676605,3,0.076
0.0708,1,26.23478937149048,1,0.0006318963242241707,0,703.4454002380371,4,0.0708
0.0784,3,25.940040111541748,1,0.0006307516507826364,0,580.7579760551453,4,0.0784
0.0801,5,25.92327857017517,1,0.0006284669130955114,0,536.7222180366516,4,0.0801
0.0801,10,25.688223838806152,1,0.0006178388545514972,5,462.3504161834717,4,0.0784
0.0801,15,25.92716407775879,1,0.0006004223413441034,10,389.61777687072754,4,0.0771
0.0706,1,26.216146230697632,1,0.0005672951519554741,0,707.3647265434265,5,0.0706
0.078,3,25.926982164382935,1,0.000566267502847447,0,587.1769976615906,5,0.078
0.08,5,26.097362756729126,1,0.0005642163426116483,0,542.6072988510132,5,0.08
0.08,10,25.591235637664795,1,0.0005546748310446666,5,471.8483076095581,5,0.0787
0.08,15,25.41177773475647,1,0.0005390388744363513,10,404.5543751716614,5,0.0777
