best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0699,1,23.302339792251587,1,0.0004082391402726613,0,718.2039489746094,1,0.0699
0.0766,3,22.38800311088562,1,0.00040749961943079113,0,611.9156918525696,1,0.0766
0.0796,6,22.524025917053223,1,0.00040501106203761017,0,551.6168217658997,1,0.0796
0.0796,10,22.134729146957397,1,0.0003991572559293282,4,508.0429334640503,1,0.0791
0.0796,16,22.106667041778564,1,0.00038515156881113586,10,453.960223197937,1,0.0782
0.0699,1,22.431501150131226,1,0.0005309376621168105,0,709.9747829437256,2,0.0699
0.0777,3,22.18796467781067,1,0.0005299758742132622,0,594.8646740913391,2,0.0777
0.0796,6,22.326645135879517,1,0.0005267393671906956,0,536.3366236686707,2,0.0796
0.0796,10,22.11567187309265,1,0.0005191261674187666,4,488.824303150177,2,0.0786
0.0796,16,22.01899218559265,1,0.0005009109939057467,10,424.09456968307495,2,0.0776
0.0696,1,22.5572030544281,1,0.00038180705951503424,0,720.1493511199951,3,0.0696
0.0762,3,22.4795663356781,1,0.000381115420105114,0,616.4473114013672,3,0.0762
0.0795,6,22.503965854644775,1,0.0003787879882471833,0,555.7103219032288,3,0.0795
0.0795,10,22.188770055770874,1,0.00037331319595832656,4,512.8209376335144,3,0.0791
0.0795,16,21.829426288604736,1,0.0003602143289278084,10,461.0550751686096,3,0.0783
0.0701,1,22.605594158172607,1,0.0004975541415195853,0,712.123541355133,4,0.0701
0.0775,3,22.234665632247925,1,0.0004966528275070024,0,598.9545664787292,4,0.0775
0.0796,6,22.462215900421143,1,0.0004936198208321417,0,540.0057578086853,4,0.0796
0.0796,10,22.05466914176941,1,0.0004864853126836015,4,493.6685633659363,4,0.0787
0.0796,16,22.2929368019104,1,0.00046941544616901443,10,431.70227670669556,4,0.0776
0.0698,1,22.686617136001587,1,0.00039740116883432513,0,718.989944934845,5,0.0698
0.0765,3,22.38468360900879,1,0.0003966812808619463,0,613.731029510498,5,0.0765
0.0796,6,22.661041736602783,1,0.0003942587899266065,0,553.2517266273499,5,0.0796
0.0796,10,21.98178195953369,1,0.0003885603912184204,4,509.96819829940796,5,0.0791
0.0796,16,22.372208833694458,1,0.0003749265284109981,10,456.8403511047363,5,0.0782
