best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.071,1,23.372494220733643,1,0.0006369966686738698,0,703.6959810256958,1,0.071
0.0783,3,22.443214893341064,1,0.0006358427560128457,0,583.8848905563354,1,0.0783
0.0798,4,22.251288652420044,1,0.0006348343533180984,0,559.0266237258911,1,0.0798
0.0798,10,22.19963240623474,1,0.0006228257342844805,6,473.92330837249756,1,0.0781
0.0798,14,22.054356813430786,1,0.0006093087489050243,10,425.4692540168762,1,0.0772
0.0707,1,22.60884141921997,1,0.000467603319092273,0,714.1761507987976,2,0.0707
0.0774,3,22.59325075149536,1,0.00046675626067458806,0,602.6673817634583,2,0.0774
0.0796,6,22.57027530670166,1,0.0004639058291945839,0,542.907464504242,2,0.0796
0.0796,10,22.12264132499695,1,0.00045720079066318033,4,497.2274765968323,2,0.0788
0.0796,16,22.094999313354492,1,0.00044115846366273514,10,437.84603691101074,2,0.0776
0.0689,1,22.561910390853882,1,0.0003128235084543658,0,725.798098564148,3,0.0689
0.0752,3,22.279548406600952,1,0.0003122568320103226,0,629.9571685791016,3,0.0752
0.0796,9,22.26451086997986,1,0.0003071909068252667,0,534.9067010879517,3,0.0796
0.0796,10,21.892638683319092,1,0.0003058642861667607,1,525.9163918495178,3,0.0796
0.0796,19,22.07849645614624,1,0.0002880676221928093,10,459.10461950302124,3,0.0784
0.069,1,22.307013034820557,1,0.00032135323920072365,0,725.0274224281311,4,0.069
0.0753,3,22.195238828659058,1,0.0003207711112405464,0,628.0746312141418,4,0.0753
0.0796,9,22.503453254699707,1,0.00031556705392461835,0,533.1069617271423,4,0.0796
0.0796,10,22.04320216178894,1,0.00031420426041875975,1,524.046329498291,4,0.0796
0.0796,19,22.367781162261963,1,0.0002959223363931222,10,456.1277685165405,4,0.0783
0.0705,1,22.618881702423096,1,0.0005630705399899069,0,708.0963177680969,5,0.0705
0.0781,3,22.459696531295776,1,0.0005620505437213288,0,591.0165138244629,5,0.0781
0.0797,6,21.899117708206177,1,0.0005586181600595408,0,532.3869724273682,5,0.0797
0.0797,10,22.03127932548523,1,0.0005505442018296046,4,483.2790241241455,5,0.0784
0.0797,16,21.805981874465942,1,0.0005312266278132986,10,416.26193141937256,5,0.0772
