best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0043,1,2.8769710063934326,1,0.001278617905558037,0,80.31900358200073,1,0.0043
0.0141,3,2.005016803741455,1,0.0012763017028800748,0,73.13742446899414,1,0.0141
0.0626,10,1.4965190887451172,1,0.0012501731564096895,2,55.7168231010437,1,0.0538
0.0878,24,1.7816855907440186,1,0.0011199142562623775,0,39.784483194351196,1,0.0878
0.0878,34,1.5063936710357666,1,0.000975195197926216,10,32.41681623458862,1,0.0862
0.0055,1,1.814819574356079,1,0.0016629135586172955,0,79.90447759628296,2,0.0055
0.0162,3,1.7340359687805176,1,0.0016599012084687903,0,71.51801681518555,2,0.0162
0.0627,10,1.4097084999084473,1,0.0016259195834628407,2,52.34860849380493,2,0.0567
0.0904,24,1.6735992431640625,1,0.001456510653520627,0,34.47310709953308,2,0.0904
0.0904,34,1.566901683807373,1,0.001268295485211609,10,26.58489489555359,2,0.0854
0.0043,1,2.049645185470581,1,0.0011958317922145555,0,80.4133448600769,3,0.0043
0.0142,3,1.77333402633667,1,0.0011936655556966094,0,73.52217388153076,3,0.0142
0.0631,10,1.5364329814910889,1,0.0011692287427771113,2,56.576653480529785,3,0.055
0.0898,29,1.6847500801086426,1,0.0009838236697006062,0,37.24932789802551,3,0.0898
0.0898,39,1.4882783889770508,1,0.0008338996315599579,10,31.163148880004883,3,0.0838
0.0044,1,2.0458972454071045,1,0.0015583553157264515,0,80.01328134536743,4,0.0044
0.0145,3,1.54921555519104,1,0.0015555323717180713,1,71.93666887283325,4,0.0144
0.063,10,1.4841821193695068,1,0.0015236873935527142,2,53.18401050567627,4,0.054
0.0908,24,1.7536489963531494,1,0.0013649303101559724,0,35.81822943687439,4,0.0908
0.0908,34,1.4893293380737305,1,0.001188549459500939,10,28.02216649055481,4,0.0854
0.0043,1,1.963127851486206,1,0.0012446730360589288,0,80.3574800491333,5,0.0043
0.014,3,1.6841552257537842,1,0.0012424183241494713,0,73.29270029067993,5,0.014
0.0641,10,1.4601454734802246,1,0.0012169834408104119,2,56.061617374420166,5,0.0566
0.0885,24,1.775040626525879,1,0.0010901826663059346,0,40.29998779296875,5,0.0885
0.0885,34,1.5176451206207275,1,0.0009493056232644917,10,33.002222537994385,5,0.0852
