best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0037,1,2.173215389251709,1,0.0008229865798824023,0,80.53268241882324,1,0.0037
0.0118,3,1.311387538909912,1,0.0008214957484839334,0,74.05966329574585,1,0.0118
0.043,10,1.328505039215088,1,0.0008046780244371425,0,57.600515365600586,1,0.043
0.0684,29,1.5795671939849854,1,0.0006770799057238854,0,36.29332113265991,1,0.0684
0.0684,39,1.252725601196289,1,0.0005739002844804712,10,29.819945812225342,1,0.0612
0.0042,1,1.7878766059875488,1,0.0011737867444243442,0,79.9320912361145,2,0.0042
0.0149,3,1.4586398601531982,1,0.0011716604422749887,0,72.40297269821167,2,0.0149
0.0583,10,1.3788714408874512,1,0.0011476741197272622,0,52.61455965042114,2,0.0583
0.0678,21,1.5347120761871338,1,0.001061019506052017,0,36.32378911972046,2,0.0678
0.0678,31,1.1901533603668213,1,0.0009383781173547018,10,26.97234010696411,2,0.0633
0.0044,1,1.642484188079834,1,0.0013401907360239107,0,79.67649030685425,3,0.0044
0.0167,3,1.4268648624420166,1,0.001337762994821269,0,71.70246315002441,3,0.0167
0.0645,10,1.5092346668243408,1,0.0013103762080625635,0,50.75300312042236,3,0.0645
0.0684,12,1.3390097618103027,1,0.0012972843588267956,0,46.81529760360718,3,0.0684
0.0684,22,1.261754035949707,1,0.0011993671782795114,10,32.3864963054657,3,0.0643
0.004,1,1.5346317291259766,1,0.0010679676381996058,0,80.1050157546997,4,0.004
0.0124,3,1.4050586223602295,1,0.0010660330262308368,0,72.86045837402344,4,0.0124
0.0539,10,1.5361299514770508,1,0.0010442091162556457,0,53.92234468460083,4,0.0539
0.0682,19,1.3678889274597168,1,0.0009834519778743225,0,40.47601318359375,4,0.0682
0.0682,29,1.298527717590332,1,0.0008786284557540103,10,30.618792057037354,4,0.0649
0.0039,1,1.6343045234680176,1,0.0008403333556877781,0,80.50135803222656,5,0.0039
0.0117,3,1.2088463306427002,1,0.0008388111007902327,0,73.96625757217407,5,0.0117
0.0459,10,1.6918063163757324,1,0.0008216388955213567,0,57.308889389038086,5,0.0459
0.0679,31,1.467820644378662,1,0.000671800423719542,0,34.37251138687134,5,0.0679
0.0679,41,1.159127950668335,1,0.000563077989611987,10,28.35175132751465,5,0.0629
