best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0063,1,2.2904953956604004,1,0.0012694881534231213,0,80.47305822372437,1,0.0063
0.009,3,1.239588737487793,1,0.001267188489193629,1,73.77872610092163,1,0.0078
0.0617,10,1.3489775657653809,1,0.0012412465091336494,0,56.82843589782715,1,0.0617
0.0878,22,1.35086989402771,1,0.0011360938286646921,0,41.931968688964844,1,0.0878
0.0878,32,1.1018729209899902,1,0.0009996328755275822,10,34.18876767158508,1,0.0822
0.0064,1,1.6786279678344727,1,0.0012419743435166369,0,80.50649929046631,2,0.0064
0.009,3,1.117821455001831,1,0.0012397245202598929,1,73.87490749359131,2,0.0085
0.0618,10,1.3023500442504883,1,0.001214344784680922,0,57.12324237823486,2,0.0618
0.0874,22,1.3646554946899414,1,0.0011114710942551399,0,42.33073806762695,2,0.0874
0.0874,32,1.1629314422607422,1,0.0009779676801184123,10,34.622349977493286,2,0.0822
0.0063,1,1.504343032836914,1,0.0013367639183491998,0,80.39198541641235,3,0.0063
0.009,3,1.1297879219055176,1,0.0013343423847901712,1,73.55266284942627,3,0.0078
0.062,10,1.4590604305267334,1,0.0013070256250226958,0,56.13933563232422,3,0.062
0.0887,22,1.3948304653167725,1,0.001196300441184171,0,40.98427057266235,3,0.0887
0.0887,32,1.1227655410766602,1,0.0010526078215048519,10,33.1663875579834,3,0.0825
0.0058,1,1.8308517932891846,1,0.0008415485979499572,0,81.00172519683838,4,0.0058
0.009,3,1.4671356678009033,1,0.0008400241416540348,0,75.59948205947876,4,0.009
0.0481,10,1.308547019958496,1,0.000822827102919444,0,62.39312505722046,4,0.0481
0.0895,40,1.3536853790283203,1,0.000575424911299129,0,38.160494804382324,4,0.0895
0.0895,50,1.0958354473114014,1,0.00045694686206352165,10,34.470069885253906,4,0.0867
0.0045,1,1.5779170989990234,1,0.000747778313864479,0,81.115966796875,5,0.0045
0.0087,3,1.339613437652588,1,0.0007464237214365409,0,76.12313747406006,5,0.0087
0.0413,10,1.3212306499481201,1,0.0007311428776923521,0,63.99494934082031,5,0.0413
0.0919,43,1.1602404117584229,1,0.0004803043816414563,0,39.30869388580322,5,0.0919
0.0919,53,1.1757676601409912,1,0.0003740657384306161,10,36.162941694259644,5,0.0862
