best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0031,1,2.479297161102295,1,0.001443745105519328,0,79.97994804382324,1,0.0031
0.0102,3,1.5143368244171143,1,0.0014411297766824935,0,72.82782316207886,1,0.0102
0.0576,10,1.6762516498565674,1,0.0014116268572278428,0,54.76392984390259,1,0.0576
0.084,18,1.5824458599090576,1,0.0013409136517084175,0,43.7339129447937,1,0.084
0.084,28,1.2390868663787842,1,0.00120399337696588,10,34.556137800216675,1,0.081
0.0021,1,1.8231563568115234,1,0.0011512670150322117,0,80.33195066452026,2,0.0021
0.0054,3,1.4975214004516602,1,0.0011491815071320987,0,73.90337991714478,2,0.0054
0.0582,10,1.5069687366485596,1,0.0011256553750708068,0,57.82548522949219,2,0.0582
0.0841,17,1.473412275314331,1,0.0010779366726064183,0,48.5544171333313,2,0.0841
0.0841,27,1.2673795223236084,1,0.0009726810280141911,10,39.815619230270386,2,0.0799
0.0018,1,1.7100911140441895,1,0.0009737072288043945,0,80.5590147972107,3,0.0018
0.0077,3,1.4153459072113037,1,0.0009719433685603729,0,74.6879415512085,3,0.0077
0.0564,10,1.5174357891082764,1,0.0009520456692822903,0,60.07363700866699,3,0.0564
0.0826,24,1.5423266887664795,1,0.0008528494730314703,0,45.047905921936035,3,0.0826
0.0826,34,1.2567124366760254,1,0.0007426414174152108,10,38.59552001953125,3,0.0811
0.0031,1,1.8066480159759521,1,0.001441253777773052,0,79.98282718658447,4,0.0031
0.0102,3,1.490006446838379,1,0.0014386429619498182,0,72.83618450164795,4,0.0102
0.0575,10,1.4168338775634766,1,0.0014091909527573407,0,54.78715753555298,4,0.0575
0.0841,18,4.906536817550659,1,0.0013385997700037522,0,43.763790130615234,4,0.0841
0.0841,28,1.3916149139404297,1,0.001201915765000374,10,34.59060335159302,4,0.081
0.0018,1,1.764509916305542,1,0.0009860060190133644,0,80.5430235862732,5,0.0018
0.0077,3,1.45314621925354,1,0.0009842198796422526,0,74.62862873077393,5,0.0077
0.0562,10,1.5250627994537354,1,0.000964070854686571,0,59.90692377090454,5,0.0562
0.0834,32,1.591301679611206,1,0.0007764105788747108,0,39.42193961143494,5,0.0834
0.0834,42,1.395704746246338,1,0.0006470567832588854,10,34.56446957588196,5,0.0807
