early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
False,40,0.047,ok,0.052,0.0364,1
False,40,0.089,ok,0.1127,0.0682,2
False,40,0.1344,ok,0.1743,0.1031,3
False,40,0.0853,ok,0.1099,0.0657,4
False,40,0.0865,ok,0.1075,0.0645,5
False,40,0.1266,ok,0.1655,0.0962,6
False,40,0.0719,ok,0.0815,0.0549,7
False,40,0.1407,ok,0.1882,0.1144,8
False,40,0.0527,ok,0.0608,0.0442,9
False,40,0.0982,ok,0.1259,0.0729,10
False,40,0.0879,ok,0.1059,0.0657,11
False,40,0.0572,ok,0.0631,0.0431,12
