stage_name,stage_key,split,aggregation_level,node_kind,node_name,route_space,support_size,wrapper_name,source_type,temperature,top_k,entropy_norm,n_eff_norm,top1_monopoly_norm,jitter_adj_norm,knn_consistency_score,knn_consistency_js,n_eff,cv_usage,top1_max_frac,entropy_mean
macro,macro@1,best_valid,token,primitive,primitive.b_group,group,4,GroupConditionalProductWrapper,both,1.0,,0.9125021158398219,0.9943555329124658,0.1943422799071907,0.0,0.9907123229747505,0.009331076426276994,3.9774221316498632,0.07534230500459671,0.395756709930393,1.2649965376987142
macro,macro@1,best_valid,token,primitive,primitive.d_cond.Exposure,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.9160976431438828,0.867018885647278,0.9386303535061856,0.0,0.998151595767961,0.001850114639148962,2.601056656941834,0.39163428867953154,0.9590869023374571,1.0064361283777623
macro,macro@1,best_valid,token,primitive,primitive.d_cond.Focus,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.9926530516321854,0.9993604937636228,0.27865588619714887,0.0,0.9994997900286071,0.0005003351181355106,2.9980814812908685,0.025296828886961074,0.5191039241314326,1.0905408409070185
macro,macro@1,best_valid,token,primitive,primitive.d_cond.Memory,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.9612541179311545,0.987982857007414,0.7045046961913737,0.0,0.9925799480319282,0.007447717491716277,2.9639485710222417,0.11028721227385961,0.8030031307942491,1.0560455864919907
macro,macro@1,best_valid,token,primitive,primitive.d_cond.Tempo,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.9803539002533757,0.9908426926808986,0.38210887868932186,0.0,0.9985128115176799,0.0014882954447550546,2.972528078042696,0.09613476034597276,0.5880725857928812,1.0770288420620688
macro,macro@1,best_valid,token,wrapper,wrapper.group,group,4,GroupConditionalProductWrapper,,,,0.9125021158398219,0.9943555329124658,0.1943422799071907,0.0,0.9907123229747505,0.009331076426276994,3.9774221316498632,0.07534230500459671,0.395756709930393,1.2649965376987142
macro,macro@1,best_valid,token,wrapper,wrapper.intra.Exposure,intra,3,GroupConditionalProductWrapper,,,,0.9160976431438828,0.867018885647278,0.9386303535061856,0.0,0.998151595767961,0.001850114639148962,2.601056656941834,0.39163428867953154,0.9590869023374571,1.0064361283777623
macro,macro@1,best_valid,token,wrapper,wrapper.intra.Focus,intra,3,GroupConditionalProductWrapper,,,,0.9926530516321854,0.9993604937636228,0.27865588619714887,0.0,0.9994997900286071,0.0005003351181355106,2.9980814812908685,0.025296828886961074,0.5191039241314326,1.0905408409070185
macro,macro@1,best_valid,token,wrapper,wrapper.intra.Memory,intra,3,GroupConditionalProductWrapper,,,,0.9612541179311545,0.987982857007414,0.7045046961913737,0.0,0.9925799480319282,0.007447717491716277,2.9639485710222417,0.11028721227385961,0.8030031307942491,1.0560455864919907
macro,macro@1,best_valid,token,wrapper,wrapper.intra.Tempo,intra,3,GroupConditionalProductWrapper,,,,0.9803539002533757,0.9908426926808986,0.38210887868932186,0.0,0.9985128115176799,0.0014882954447550546,2.972528078042696,0.09613476034597276,0.5880725857928812,1.0770288420620688
mid,mid@1,best_valid,token,primitive,primitive.b_group,group,4,GroupConditionalProductWrapper,both,1.0,,0.9005999139564811,0.9650413011881757,0.18704722534626175,0.0,0.9914720973841408,0.008564473239615494,3.8601652047527026,0.19032908976078033,0.3902854190096963,1.2484965823429284
mid,mid@1,best_valid,token,primitive,primitive.d_cond.Exposure,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.8946909053229235,0.9419796938810344,0.5720538618195081,0.0,0.9918756139449719,0.008157568727518274,2.8259390816431034,0.2481816635077696,0.7147025745463388,0.9829184231473601
mid,mid@1,best_valid,token,primitive,primitive.d_cond.Focus,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.9302775487607771,0.936747389388375,0.6582266938204808,0.0,0.9964760903557695,0.003530133239046455,2.810242168165125,0.25985304981908053,0.7721511292136539,1.0220143469406364
mid,mid@1,best_valid,token,primitive,primitive.d_cond.Memory,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.42194946131386735,0.44598589419299656,0.975151220401836,0.0,0.9966398121897926,0.003365845919696525,1.3379576825789896,1.114550706310549,0.9834341469345573,0.46355886339630387
mid,mid@1,best_valid,token,primitive,primitive.d_cond.Tempo,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.9584423892644487,0.9887471567328824,0.4030821605519925,0.0,0.9969722526670771,0.0030323402329823857,2.9662414701986473,0.10668129528518631,0.6020547737013283,1.0529565868263473
mid,mid@1,best_valid,token,wrapper,wrapper.group,group,4,GroupConditionalProductWrapper,,,,0.9005999139564811,0.9650413011881757,0.18704722534626175,0.0,0.9914720973841408,0.008564473239615494,3.8601652047527026,0.19032908976078033,0.3902854190096963,1.2484965823429284
mid,mid@1,best_valid,token,wrapper,wrapper.intra.Exposure,intra,3,GroupConditionalProductWrapper,,,,0.8946909053229235,0.9419796938810344,0.5720538618195081,0.0,0.9918756139449719,0.008157568727518274,2.8259390816431034,0.2481816635077696,0.7147025745463388,0.9829184231473601
mid,mid@1,best_valid,token,wrapper,wrapper.intra.Focus,intra,3,GroupConditionalProductWrapper,,,,0.9302775487607771,0.936747389388375,0.6582266938204808,0.0,0.9964760903557695,0.003530133239046455,2.810242168165125,0.25985304981908053,0.7721511292136539,1.0220143469406364
mid,mid@1,best_valid,token,wrapper,wrapper.intra.Memory,intra,3,GroupConditionalProductWrapper,,,,0.42194946131386735,0.44598589419299656,0.975151220401836,0.0,0.9966398121897926,0.003365845919696525,1.3379576825789896,1.114550706310549,0.9834341469345573,0.46355886339630387
mid,mid@1,best_valid,token,wrapper,wrapper.intra.Tempo,intra,3,GroupConditionalProductWrapper,,,,0.9584423892644487,0.9887471567328824,0.4030821605519925,0.0,0.9969722526670771,0.0030323402329823857,2.9662414701986473,0.10668129528518631,0.6020547737013283,1.0529565868263473
micro,micro@1,best_valid,token,primitive,primitive.b_group,group,4,GroupConditionalProductWrapper,both,1.0,,0.8449640898325613,0.9208685659686224,0.2450834371865406,0.0,0.9839656240961699,0.016164317401736062,3.6834742638744897,0.29314061999320984,0.43381257788990546,1.1713689530836804
micro,micro@1,best_valid,token,primitive,primitive.d_cond.Exposure,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.9590554014491639,0.9501727811766156,0.7210097571354751,0.0,0.9993946219230191,0.0006055613922760476,2.850518343529847,0.22899812522536142,0.8140065047569834,1.0536300495455788
micro,micro@1,best_valid,token,primitive,primitive.d_cond.Focus,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.2930250390044378,0.5784401177207195,0.5280555639989057,0.0,0.9959853656651269,0.0040227146127859055,1.7353203531621584,0.8536903436553068,0.6853703759992705,0.3219209087377276
micro,micro@1,best_valid,token,primitive,primitive.d_cond.Memory,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.685022473153932,0.6592560746401713,0.8333991914647859,0.0,0.9996175624223129,0.00038251072558773656,1.977768223920514,0.7189306551536723,0.8889327943098574,0.7525741070207301
micro,micro@1,best_valid,token,primitive,primitive.d_cond.Tempo,intra,3,GroupConditionalProductWrapper,feature,1.0,,0.9774620866027358,0.9793068707325152,0.6021003677923341,0.0,0.9995847134914044,0.0004153727639189974,2.9379206121975456,0.145362894375238,0.7347335785282227,1.0738518600489377
micro,micro@1,best_valid,token,wrapper,wrapper.group,group,4,GroupConditionalProductWrapper,,,,0.8449640898325613,0.9208685659686224,0.2450834371865406,0.0,0.9839656240961699,0.016164317401736062,3.6834742638744897,0.29314061999320984,0.43381257788990546,1.1713689530836804
micro,micro@1,best_valid,token,wrapper,wrapper.intra.Exposure,intra,3,GroupConditionalProductWrapper,,,,0.9590554014491639,0.9501727811766156,0.7210097571354751,0.0,0.9993946219230191,0.0006055613922760476,2.850518343529847,0.22899812522536142,0.8140065047569834,1.0536300495455788
micro,micro@1,best_valid,token,wrapper,wrapper.intra.Focus,intra,3,GroupConditionalProductWrapper,,,,0.2930250390044378,0.5784401177207195,0.5280555639989057,0.0,0.9959853656651269,0.0040227146127859055,1.7353203531621584,0.8536903436553068,0.6853703759992705,0.3219209087377276
micro,micro@1,best_valid,token,wrapper,wrapper.intra.Memory,intra,3,GroupConditionalProductWrapper,,,,0.685022473153932,0.6592560746401713,0.8333991914647859,0.0,0.9996175624223129,0.00038251072558773656,1.977768223920514,0.7189306551536723,0.8889327943098574,0.7525741070207301
micro,micro@1,best_valid,token,wrapper,wrapper.intra.Tempo,intra,3,GroupConditionalProductWrapper,,,,0.9774620866027358,0.9793068707325152,0.6021003677923341,0.0,0.9995847134914044,0.0004153727639189974,2.9379206121975456,0.145362894375238,0.7347335785282227,1.0738518600489377
