early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,11,0.0545,ok,0.0824,0.0543,1
True,14,0.0473,ok,0.0502,0.0457,2
True,20,0.1658,ok,0.1738,0.166,3
True,14,0.1658,ok,0.1721,0.1661,4
True,24,0.165,ok,0.1732,0.1664,5
True,23,0.1663,ok,0.1738,0.1656,6
True,12,0.086,ok,0.1315,0.0862,7
True,12,0.0999,ok,0.1427,0.1014,8
True,17,0.0471,ok,0.054,0.0469,9
True,24,0.0473,ok,0.051,0.046,10
True,12,0.1167,ok,0.1618,0.1214,11
True,23,0.1651,ok,0.1724,0.1661,12
True,12,0.1498,ok,0.1732,0.1537,13
True,12,0.098,ok,0.1408,0.0993,14
True,14,0.166,ok,0.1735,0.1666,15
True,24,0.1649,ok,0.1724,0.1655,16
True,12,0.1528,ok,0.1732,0.1574,17
True,12,0.1358,ok,0.1713,0.1408,18
True,14,0.1662,ok,0.1732,0.1665,19
True,14,0.1653,ok,0.1738,0.1657,20
