best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0095,1,1,0.00019970661711300869,0,387.02936935424805,1,0.0095
0.1596,3,1,0.00019934485070933702,0,351.5199375152588,1,0.1596
0.1642,10,1,0.00019526384761764064,6,321.2082624435425,1,0.1613
0.165,14,1,0.0001910260995155713,0,307.38461446762085,1,0.165
0.165,24,1,0.00017491878269699292,10,285.62459659576416,1,0.1634
0.1034,1,1,0.00136523495422934,0,357.18677616119385,2,0.1034
0.1616,3,1,0.0013627618456929366,0,304.4210591316223,2,0.1616
0.1616,10,1,0.001334863280539489,7,256.5463013648987,2,0.0622
0.1616,13,1,0.001313993397397223,10,247.11623620986938,2,0.0478
0.0085,1,1,0.0065659865801390915,0,356.4601526260376,3,0.0085
0.0474,3,1,0.006554092365585804,0,287.5089907646179,3,0.0474
0.0478,4,1,0.006543698027771023,0,278.41974353790283,3,0.0478
0.0478,10,1,0.0064199164833794505,6,254.3531813621521,3,0.0466
0.0478,14,1,0.006280587113274243,10,243.0699110031128,3,0.0461
0.0388,1,1,0.004023150187334117,0,346.4182062149048,4,0.0388
0.0695,2,1,0.004020416080110164,0,301.2533254623413,4,0.0695
0.0695,3,1,0.004015862293744295,1,281.9201970100403,4,0.0473
0.0695,10,1,0.00393364925248298,8,245.12636995315552,4,0.0462
0.0695,12,1,0.003894348521408169,10,238.53103160858154,4,0.046
0.0327,1,1,0.005095269138765612,0,350.4903531074524,5,0.0327
0.0506,2,1,0.0050918064263359,0,303.55245447158813,5,0.0506
0.0506,3,1,0.005086039113147445,1,282.8868021965027,5,0.048
0.0506,10,1,0.004981917329858908,8,248.57154512405396,5,0.0467
0.0506,12,1,0.0049321434479872245,10,241.88671684265137,5,0.0479
0.102,1,1,0.0013307023725743486,0,357.5290279388428,6,0.102
0.1622,3,1,0.0013282918194407428,0,305.3073287010193,6,0.1622
0.1622,10,1,0.0013010989273117325,7,257.0857548713684,6,0.0654
0.1622,13,1,0.0012807569320187394,10,247.69279956817627,6,0.048
0.0112,1,1,0.00022010300821968327,0,385.6379518508911,7,0.0112
0.161,3,1,0.00021970429397139227,0,350.16312742233276,7,0.161
0.1628,10,1,0.00021520649079380448,6,317.47184705734253,7,0.1628
0.1652,15,1,0.00020913994664298696,0,300.6138701438904,7,0.1652
0.1652,25,1,0.00019057836101680673,10,280.2488784790039,7,0.1624
0.1471,1,1,0.0005563276159087258,0,370.03597497940063,8,0.1471
0.1471,3,1,0.0005553198343750942,2,334.6398525238037,8,0.1428
0.1661,6,1,0.000551928554448638,0,304.1939187049866,8,0.1661
0.1661,10,1,0.0005439512840819667,4,281.6368851661682,8,0.1552
0.1661,16,1,0.0005248650433103851,10,263.92911291122437,8,0.1196
0.016,1,1,0.0002554340359614689,0,383.35305309295654,9,0.016
0.1637,3,1,0.00025497131993382303,0,348.2669587135315,9,0.1637
0.1652,10,1,0.00024975152749252724,0,311.80690574645996,9,0.1652
0.1663,13,1,0.0002458467941244291,0,300.7968249320984,9,0.1663
0.1663,23,1,0.00022620462558525372,10,277.75063943862915,9,0.1612
0.0164,1,1,0.00025835500438982844,0,383.1713824272156,10,0.0164
0.1638,3,1,0.00025788699705907585,0,348.12663888931274,10,0.1638
0.1653,10,1,0.0002526075146517729,0,311.3781337738037,10,0.1653
0.1663,13,1,0.0002486581294312055,0,300.3401565551758,10,0.1663
0.1663,23,1,0.00022879134652554017,10,277.32226371765137,10,0.1608
0.0976,1,1,0.0012719689643192827,0,358.1213946342468,11,0.0976
0.1622,3,1,0.0012696648061273517,0,306.83828020095825,11,0.1622
0.1622,10,1,0.001243672130716945,7,258.06650733947754,11,0.074
0.1622,13,1,0.0012242279730914046,10,248.73238229751587,11,0.0484
0.1006,1,1,0.0013054013002763972,0,357.78245973587036,12,0.1006
0.1618,3,1,0.0013030365797649978,0,305.962206363678,12,0.1618
0.1618,10,1,0.0012763607148420153,7,257.4978098869324,12,0.0687
0.1618,13,1,0.0012564054884495668,10,248.12990045547485,12,0.0482
0.0783,1,1,0.00305275382285333,0,346.19539165496826,13,0.0783
0.1006,2,1,0.0030506791908134203,0,303.4579997062683,13,0.1006
0.1006,3,1,0.003047223791912174,1,284.04252004623413,13,0.0473
0.1006,10,1,0.0029848407924434957,8,244.6437578201294,13,0.0475
0.1006,12,1,0.002955019520195874,10,237.79569244384766,13,0.0473
0.0442,1,1,0.003958160816331513,0,345.46284437179565,14,0.0442
0.0687,2,1,0.0039554708754698555,0,300.5251097679138,14,0.0687
0.0687,3,1,0.003950990650293059,1,281.6253995895386,14,0.0474
0.0687,10,1,0.003870105666298064,8,244.74087190628052,14,0.0466
0.0687,12,1,0.003831439793399946,10,238.1602931022644,14,0.0475
0.0323,1,1,0.0003160991856941249,0,379.8177418708801,15,0.0323
0.1601,3,1,0.0003155265753957521,0,345.6212034225464,15,0.1601
0.166,10,1,0.00030906709111451546,0,303.50787353515625,15,0.166
0.166,20,1,0.00028846527835164616,10,275.1357216835022,15,0.1561
0.1009,1,1,0.002097551300681117,0,351.51564359664917,16,0.1009
0.1471,2,1,0.0020961258181868623,0,312.76847743988037,16,0.1471
0.1471,3,1,0.0020937516089055822,1,291.6257405281067,16,0.0526
0.1471,10,1,0.002050888165185901,8,248.77472352981567,16,0.0471
0.1471,12,1,0.0020303979284944603,10,241.94843530654907,16,0.0463
0.1016,1,1,0.0020304723157485863,0,351.7890958786011,17,0.1016
0.1511,2,1,0.0020290924197049333,0,313.42821311950684,17,0.1511
0.1511,3,1,0.0020267941368377314,1,292.3218731880188,17,0.0545
0.1511,10,1,0.001985301451627983,8,249.2546191215515,17,0.0472
0.1511,12,1,0.00196546648581256,10,242.4253363609314,17,0.0468
0.0128,1,1,0.00023241455587373657,0,384.82352924346924,18,0.0128
0.1617,3,1,0.00023199353938837988,0,349.45139598846436,18,0.1617
0.1632,10,1,0.0002272441498349069,0,315.3387279510498,18,0.1632
0.1651,14,1,0.00022231234358188783,0,301.21694564819336,18,0.1651
0.1651,24,1,0.0002035669713011633,10,279.64396715164185,18,0.1622
0.0439,1,1,0.0037927688877051114,0,346.6262936592102,19,0.0439
0.0726,2,1,0.0037901913461439478,0,302.15987253189087,19,0.0726
0.0726,3,1,0.0037858983273786778,1,282.4839415550232,19,0.0478
0.0726,10,1,0.0037083931260960606,8,244.53024005889893,19,0.047
0.0726,12,1,0.0036713429084447575,10,237.6303267478943,19,0.0465
0.0457,1,1,0.0034405098623840127,0,347.55672454833984,20,0.0457
0.0952,2,1,0.0034381717138111754,0,303.69660091400146,20,0.0952
0.0952,3,1,0.0034342774155191836,1,283.47254371643066,20,0.0501
0.0952,10,1,0.003363970624545624,8,244.4110884666443,20,0.0467
0.0952,12,1,0.0033303615007084183,10,237.37237453460693,20,0.0467
