best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.009,1,1,0.004271190632107313,0,339.5346350669861,1,0.009
0.0129,2,1,0.00426828795817809,0,294.9836778640747,1,0.0129
0.0129,3,1,0.004263453415901306,1,278.69904041290283,1,0.0118
0.0129,10,1,0.004176171670174318,8,243.74712133407593,1,0.0114
0.0129,12,1,0.0041344479197336385,10,236.89744424819946,1,0.0107
0.0107,1,1,0.006375509461825087,0,338.40438985824585,2,0.0107
0.0117,3,1,0.006363960294536985,0,278.0934386253357,2,0.0117
0.0123,6,1,0.006325096257159473,0,261.655770778656,2,0.0123
0.0123,10,1,0.006233676810689655,4,248.27497577667236,2,0.0102
0.0123,16,1,0.006014948663550803,10,232.99826622009277,2,0.0116
0.0071,1,1,0.00035809477155082165,0,376.8278670310974,3,0.0071
0.0079,3,1,0.00035744608669725835,0,342.6520185470581,3,0.0079
0.0107,10,1,0.00035012842296159837,0,296.76997327804565,3,0.0107
0.0117,15,1,0.00034025850905464384,0,280.0683584213257,3,0.0117
0.0117,25,1,0.0003100598906068946,10,261.8282690048218,3,0.0116
0.0068,1,1,0.0008023011258528406,0,363.3370203971863,4,0.0068
0.0099,3,1,0.0008008477659333879,0,320.58470916748047,4,0.0099
0.0119,7,1,0.0007936102036087186,0,282.097532749176,4,0.0119
0.0119,10,1,0.0007844527489709598,3,268.7106828689575,4,0.0112
0.0119,17,1,0.0007511982839237314,10,250.71086168289185,4,0.0114
0.0068,1,1,0.00024285276833126523,0,383.29811906814575,5,0.0068
0.0075,3,1,0.00024241284313554075,0,347.7669234275818,5,0.0075
0.0109,10,1,0.00023745014879564272,0,312.1628646850586,5,0.0109
0.0126,21,1,0.0002195215830492044,0,281.67370319366455,5,0.0126
0.0126,31,1,0.00019414746726657944,10,268.0976285934448,5,0.0121
0.0067,1,1,0.0002709677566830873,0,381.56106996536255,6,0.0067
0.0074,3,1,0.0002704769014862825,0,346.3689136505127,6,0.0074
0.0109,10,1,0.00026493967758874906,0,307.86168909072876,6,0.0109
0.0134,21,1,0.0002449355274436251,0,277.5167007446289,6,0.0134
0.0134,31,1,0.00021662385828424323,10,264.3009920120239,6,0.0122
0.0096,1,1,0.003528578995640906,0,341.12471199035645,7,0.0096
0.0132,2,1,0.003526180995846456,0,297.55505657196045,7,0.0132
0.0132,3,1,0.00352218701248192,1,280.2455244064331,7,0.0118
0.0132,10,1,0.0034500805294886364,8,243.4998378753662,7,0.0113
0.0132,12,1,0.0034156110894412585,10,236.44384050369263,7,0.0113
0.0099,1,1,0.003367387998650739,0,341.3088893890381,8,0.0099
0.0136,2,1,0.0033650995432304197,0,298.0972189903259,8,0.0136
0.0136,3,1,0.0033612880112609883,1,280.615074634552,8,0.0121
0.0136,10,1,0.003292475464976363,8,243.38572597503662,8,0.0118
0.0136,12,1,0.0032595806427606375,10,236.42280960083008,8,0.0109
0.0105,1,1,0.00607675697847346,0,333.75371170043945,9,0.0105
0.0119,3,1,0.006065748998117731,1,276.9308304786682,9,0.0115
0.0124,4,1,0.00605612913915493,0,269.9849452972412,9,0.0124
0.0124,10,1,0.005941570518830766,6,246.8624711036682,9,0.0105
0.0124,14,1,0.005812622536412685,10,235.53576135635376,9,0.0108
0.0104,1,1,0.006650047120730568,0,340.4419250488281,10,0.0104
0.0116,3,1,0.006638000631405918,1,278.9272937774658,10,0.0108
0.012,6,1,0.00659746305846217,0,262.52902364730835,10,0.012
0.012,10,1,0.006502106972738259,4,249.21956825256348,10,0.0117
0.012,16,1,0.006273960109524748,10,233.7230463027954,10,0.0115
0.0101,1,1,0.002901077549169793,0,343.8970527648926,11,0.0101
0.0133,2,1,0.0028991059953587016,0,301.4827847480774,11,0.0133
0.0133,3,1,0.002895822278178237,1,282.7310552597046,11,0.0121
0.0133,10,1,0.002836538782125058,8,244.37732410430908,11,0.0115
0.0133,12,1,0.00280819918174274,10,237.3858141899109,11,0.0119
0.0068,1,1,0.00024157728792194102,0,383.3793330192566,12,0.0068
0.0075,3,1,0.00024113967324535361,0,347.8357996940613,12,0.0075
0.0109,10,1,0.000236203043337216,0,312.36866760253906,12,0.0109
0.0127,21,1,0.0002183686397225664,0,281.8769106864929,12,0.0127
0.0127,31,1,0.0001931277906422609,10,268.2829041481018,12,0.0121
0.009,1,1,0.0020544277307788105,0,349.60333585739136,13,0.009
0.0121,3,1,0.0020507061568895155,0,290.03880405426025,13,0.0121
0.0127,7,1,0.0020321731544245933,0,260.08613538742065,13,0.0127
0.0127,10,1,0.002008723942969029,3,248.44787645339966,13,0.0113
0.0127,17,1,0.0019235702606871822,10,227.08924913406372,13,0.0111
0.0097,1,1,0.0033921005688904845,0,341.18698024749756,14,0.0097
0.0136,2,1,0.003389795318964947,0,297.9325695037842,14,0.0136
0.0136,3,1,0.00338595581494372,1,280.50770902633667,14,0.0121
0.0136,10,1,0.003316638267487826,8,243.35385370254517,14,0.0115
0.0136,12,1,0.003283502036914983,10,236.3870816230774,14,0.011
0.0072,1,1,0.0009091584915495206,0,361.51383209228516,15,0.0072
0.0111,3,1,0.0009075115606535387,0,316.33566665649414,15,0.0111
0.0119,5,1,0.0009042243304710191,0,292.27564096450806,15,0.0119
0.0119,10,1,0.0008889329142947351,5,265.30141592025757,15,0.0116
0.0119,15,1,0.0008638744193032859,10,251.66046476364136,15,0.0119
0.0069,1,1,0.00020215430062682784,0,385.98631858825684,16,0.0069
0.0076,3,1,0.00020178810027061657,1,350.30940532684326,16,0.0072
0.0106,10,1,0.00019765707878628108,0,319.222252368927,16,0.0106
0.0126,34,1,0.00015418202916951633,0,271.69504165649414,16,0.0126
0.0126,44,1,0.000127010316945043,10,264.19881439208984,16,0.0121
0.0094,1,1,0.001943586520905927,0,350.5001587867737,17,0.0094
0.0121,3,1,0.0019400657346843317,0,291.53515625,17,0.0121
0.0128,7,1,0.0019225326313081013,0,260.8865361213684,17,0.0128
0.0128,10,1,0.001900348559983465,3,249.24739599227905,17,0.0116
0.0128,17,1,0.0018197891192161023,10,228.0833601951599,17,0.0109
0.0093,1,1,0.0024848226100000256,0,346.45285844802856,18,0.0093
0.0126,2,1,0.0024831339403924052,0,305.3292055130005,18,0.0126
0.0126,3,1,0.0024803213803844186,1,285.5325336456299,18,0.0118
0.0126,10,1,0.0024295440506177796,8,245.82235765457153,18,0.0113
0.0126,12,1,0.0024052706974947305,10,238.89594316482544,18,0.0115
0.0075,1,1,0.0009368842087603572,0,361.0924801826477,19,0.0075
0.011,3,1,0.0009351870530238088,0,315.3329496383667,19,0.011
0.012,5,1,0.0009317995753978626,0,291.23828315734863,19,0.012
0.012,10,1,0.0009160418318599606,5,264.532199382782,19,0.0116
0.012,15,1,0.0008902191524580705,10,250.8807430267334,19,0.0118
0.0074,1,1,0.0010608759464746447,0,359.3679027557373,20,0.0074
0.0113,3,1,0.0010589541810296834,0,311.09479236602783,20,0.0113
0.0123,5,1,0.0010551183884109324,0,286.99948740005493,20,0.0123
0.0123,10,1,0.001037275189717045,5,261.4403591156006,20,0.0118
0.0123,15,1,0.0010080350134019389,10,247.64184856414795,20,0.0117
