early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0606,ok,0.1067,0.0634,1
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0476,ok,0.0554,0.046,2
True,20,1.0,1.0,0.0,0.4013976721289549,0.0,2.3987201533533473,0.445098340511322,0.2166391909122467,0.0,0.29689395034779176,1.3362185817136578,3.6759774014765507,0.9675652254650119,4.2087436868686865,10.334845419757984,4.2087436868686865,0.003318318245419381,0.9966871812878206,0.008072809088662971,0.9919596885268146,0.006746484580470863,0.9932783321247338,0.008592875837596296,0.9914439374006598,0.007001935150204803,0.9930225212836403,0.0011096703625428296,0.9988909450939416,0.0016168201072210176,0.9983862043582079,0.0030898300637451637,0.9969149385485014,0.0,0.0,6.721070928883429,4.2087436868686865,0.878957630528303,0.1676,ok,0.174,0.1667,3
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1657,ok,0.174,0.1665,4
True,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1648,ok,0.1746,0.1653,5
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1649,ok,0.1732,0.1657,6
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0964,ok,0.1429,0.102,7
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1039,ok,0.1528,0.1079,8
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0482,ok,0.0586,0.0468,9
True,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0471,ok,0.0499,0.0462,10
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1069,ok,0.1615,0.1083,11
True,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1647,ok,0.1743,0.1652,12
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1491,ok,0.1748,0.1532,13
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1033,ok,0.1519,0.107,14
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1658,ok,0.1738,0.1672,15
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1638,ok,0.1664,0.1617,16
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1554,ok,0.174,0.1567,17
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1294,ok,0.1729,0.1336,18
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1664,ok,0.1746,0.1672,19
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1659,ok,0.174,0.1649,20
