early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,12,0.0482,ok,0.0556,0.0484,1
True,12,0.0835,ok,0.1334,0.0846,2
True,21,0.1543,ok,0.1727,0.1559,3
True,18,0.154,ok,0.1699,0.152,4
True,22,0.1566,ok,0.174,0.1599,5
True,37,0.1615,ok,0.1738,0.1613,6
True,20,0.1605,ok,0.1762,0.1622,7
True,14,0.1415,ok,0.1697,0.1415,8
True,53,0.1612,ok,0.174,0.1614,9
True,17,0.0474,ok,0.0532,0.0464,10
True,12,0.0537,ok,0.0764,0.054,11
True,12,0.0494,ok,0.0597,0.0477,12
True,12,0.0686,ok,0.1219,0.071,13
True,15,0.1538,ok,0.1735,0.1548,14
True,15,0.1481,ok,0.1708,0.1462,15
True,26,0.1617,ok,0.1746,0.1633,16
True,13,0.0487,ok,0.0524,0.046,17
True,38,0.1616,ok,0.1727,0.1611,18
True,12,0.1248,ok,0.1648,0.127,19
True,12,0.0708,ok,0.1222,0.0731,20
