early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0425,ok,0.0526,0.0136,1
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0656,ok,0.0702,0.0503,2
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0384,ok,0.0439,0.0248,3
True,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,ok,0.0877,0.0544,4
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0517,ok,0.0439,0.0232,5
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0518,ok,0.0439,0.0231,6
True,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0751,ok,0.0614,0.0336,7
True,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0611,ok,0.0702,0.0308,8
True,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,ok,0.0877,0.0543,9
True,35,1.0,1.0,0.0,0.058305880086080134,0.0,2.1952515268083754,0.16386455297470093,-0.002155686728656292,0.0,0.02257595460211837,1.0982164102157361,2.998472098233235,0.9187817258883249,2.3632214031388274,8.96950630325317,2.3632214031388274,0.0,1.0,5.136642077591567e-05,0.9999486355699675,8.302790203453165e-05,0.9999169755446863,7.107136029321536e-05,0.9999289311652161,3.0222233483749153e-05,0.9999697782232033,2.2329001311091897e-05,0.999977671354563,5.2287651275375246e-05,0.9999477137157,0.0,0.0,6.6710030074668145,2.3632214031388274,0.9187817258883249,0.0813,ok,0.0702,0.0421,10
True,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0744,ok,0.0702,0.0484,11
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0542,ok,0.0439,0.0192,12
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0384,ok,0.0439,0.0252,13
True,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0786,ok,0.0702,0.0508,14
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0656,ok,0.0702,0.0506,15
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0379,ok,0.0526,0.0159,16
True,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0771,ok,0.0702,0.0436,17
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0789,ok,0.0702,0.0419,18
True,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0758,ok,0.0614,0.0498,19
True,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0764,ok,0.0614,0.0496,20
