early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0858,ok,0.0614,0.0531,1
True,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0951,ok,0.0789,0.0561,2
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0858,ok,0.0614,0.0531,3
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0858,ok,0.0614,0.0577,4
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0782,ok,0.0614,0.0437,5
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0782,ok,0.0614,0.0437,6
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0669,ok,0.0439,0.029,7
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0858,ok,0.0614,0.0531,8
True,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,ok,0.0263,0.01,9
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0858,ok,0.0702,0.0579,10
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0357,ok,0.0263,0.007,11
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0855,ok,0.0614,0.0531,12
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0432,ok,0.0526,0.0312,13
True,29,1.0,1.0,0.0,0.03023426424013781,0.0,1.7912094503489848,0.08662903308868408,-0.04184255748987198,0.0,0.009305723548540609,0.6930765684486041,1.9998269230906769,0.9634517766497462,3.35643062085177,5.994520249378407,3.35643062085177,0.0,1.0,0.0,1.0,0.0,1.0,2.3152954789884057e-06,0.9999976847072013,4.359219051728569e-06,0.9999956407932991,6.658360423866363e-06,0.9999933416617429,0.0,0.0,7.607959416482301,3.35643062085177,0.983756345177665,0.0995,ok,0.0789,0.0568,14
True,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0987,ok,0.0789,0.0594,15
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0808,ok,0.0614,0.0467,16
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0347,ok,0.0175,0.0081,17
True,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,ok,0.0263,0.0102,18
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0809,ok,0.0614,0.0518,19
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0858,ok,0.0614,0.0532,20
