early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,16,0.0375,ok,0.1053,0.0699,1
True,22,0.0649,ok,0.1316,0.1094,2
True,11,0.0549,ok,0.1228,0.1228,3
True,11,0.0553,ok,0.1228,0.1228,4
True,11,0.0553,ok,0.1228,0.1228,5
True,11,0.0553,ok,0.1228,0.1228,6
True,19,0.0704,ok,0.1316,0.116,7
True,12,0.0454,ok,0.114,0.0848,8
True,42,0.0449,ok,0.0088,0.0015,9
True,22,0.0668,ok,0.1316,0.107,10
True,11,0.0553,ok,0.1228,0.1228,11
True,42,0.0449,ok,0.0088,0.0013,12
True,11,0.0553,ok,0.1228,0.1228,13
True,27,0.0752,ok,0.1316,0.0994,14
True,11,0.0553,ok,0.1228,0.1228,15
True,11,0.0553,ok,0.1228,0.1228,16
True,11,0.0553,ok,0.1228,0.1228,17
True,11,0.0549,ok,0.1228,0.1228,18
True,11,0.0549,ok,0.1228,0.1233,19
True,11,0.0546,ok,0.1228,0.1174,20
