early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,15,0.043,ok,0.0263,0.0109,1
True,11,0.0764,ok,0.0614,0.0424,2
True,11,0.0759,ok,0.0614,0.0419,3
True,29,0.0804,ok,0.0351,0.0322,4
True,11,0.0759,ok,0.0614,0.0415,5
True,22,0.0783,ok,0.0439,0.0395,6
True,11,0.0763,ok,0.0614,0.0421,7
True,28,0.0816,ok,0.0351,0.0319,8
True,26,0.0785,ok,0.0351,0.0235,9
True,11,0.0759,ok,0.0614,0.0415,10
True,28,0.0816,ok,0.0351,0.0375,11
True,21,0.0732,ok,0.0351,0.0217,12
True,27,0.0816,ok,0.0351,0.0317,13
True,20,0.07,ok,0.0439,0.019,14
True,16,0.0636,ok,0.0351,0.0217,15
True,16,0.0628,ok,0.0351,0.0217,16
True,12,0.0715,ok,0.0526,0.0352,17
True,22,0.0783,ok,0.0351,0.0195,18
True,12,0.076,ok,0.0526,0.0421,19
True,18,0.0688,ok,0.0439,0.0315,20
