early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0479,ok,0.1053,0.0678,1
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0538,ok,0.1228,0.0983,2
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0538,ok,0.1228,0.099,3
True,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,ok,0.1228,0.0994,4
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0551,ok,0.114,0.0788,5
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0538,ok,0.1228,0.0938,6
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0591,ok,0.114,0.0924,7
True,37,1.0,1.0,0.0,0.04239177956532118,0.0,2.4838168999365773,0.23957103490829468,0.03918873146176338,0.0,0.038338425414588616,1.3854950063782865,3.9941292269982234,0.9750922509225092,2.5415700186670356,11.9784755056913,2.5415700186670356,3.616633800278723e-05,0.9999638343159913,2.762368690651075e-05,0.999972376694624,3.21241332613657e-05,0.9999678763873023,3.2260824423448176e-05,0.9999677396959513,3.244568371271665e-05,0.9999675548426428,1.1548488524503413e-05,0.9999884515781591,2.1579690185886505e-05,0.9999784208008973,3.225997963969686e-05,0.9999677405407078,0.0,0.0,6.388590638827433,2.5415700186670356,0.9566420664206642,0.0684,ok,0.1228,0.0863,8
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0591,ok,0.114,0.0923,9
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0538,ok,0.1228,0.0983,10
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0538,ok,0.114,0.0944,11
True,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0673,ok,0.1053,0.079,12
True,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0538,ok,0.1228,0.0976,13
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0538,ok,0.1228,0.0983,14
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0538,ok,0.1228,0.0939,15
True,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0664,ok,0.1316,0.0839,16
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0538,ok,0.1228,0.0983,17
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0538,ok,0.1228,0.0944,18
True,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0657,ok,0.1316,0.0841,19
True,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0538,ok,0.114,0.0944,20
