early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,39,0.1158,ok,0.2065,0.1123,1
True,21,0.109,ok,0.2023,0.1069,2
True,39,0.1157,ok,0.2063,0.1122,3
True,54,0.1145,ok,0.2084,0.1154,4
True,27,0.1144,ok,0.2065,0.1112,5
True,27,0.1143,ok,0.2065,0.1111,6
True,15,0.0996,ok,0.1908,0.0977,7
True,39,0.1162,ok,0.2078,0.1126,8
True,46,0.0905,ok,0.1563,0.0834,9
True,81,0.1142,ok,0.2076,0.1139,10
True,13,0.0862,ok,0.1818,0.0921,11
True,39,0.1152,ok,0.2089,0.1132,12
True,14,0.0982,ok,0.1923,0.0989,13
True,27,0.1108,ok,0.1976,0.1066,14
True,27,0.1134,ok,0.2055,0.1109,15
True,31,0.1162,ok,0.2044,0.1108,16
True,49,0.0655,ok,0.1311,0.0672,17
True,41,0.0933,ok,0.1563,0.0935,18
True,31,0.1158,ok,0.2044,0.1121,19
True,47,0.1149,ok,0.206,0.1128,20
