best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0358,1,1,0.0025798609557784093,0,208.64804649353027,1,0.0358
0.1189,3,1,0.0025751875652146065,0,138.1903862953186,1,0.1189
0.1206,7,1,0.0025519146270935496,0,75.79951763153076,1,0.1206
0.1206,10,1,0.0025224681276272147,3,55.019365072250366,1,0.1147
0.1206,17,1,0.002415535838470265,10,28.185121417045593,1,0.1025
0.0606,1,1,0.003962187700621324,0,203.77246856689453,2,0.0606
0.1225,3,1,0.003955010239924992,0,122.1565113067627,2,0.1225
0.1243,4,1,0.003948737866848507,0,99.60307312011719,2,0.1243
0.1243,10,1,0.003874042966582383,6,43.63147413730621,2,0.1027
0.1243,14,1,0.00378996586562759,10,29.45176327228546,2,0.0947
0.0196,1,1,0.001682420998599018,0,212.43722343444824,3,0.0196
0.0987,3,1,0.0016793733109313606,0,157.89700412750244,3,0.0987
0.1204,10,1,0.001644993051548507,1,71.77807259559631,3,0.1196
0.1234,11,1,0.0016371338204481424,0,66.09260249137878,3,0.1234
0.1234,21,1,0.0015207885975748701,10,31.70469343662262,3,0.1085
0.0564,1,1,0.00465528154102323,0,203.79348373413086,4,0.0564
0.1246,3,1,0.00464684854823851,0,121.07835960388184,4,0.1246
0.1246,10,1,0.004551717907920857,7,43.56947135925293,4,0.1043
0.1246,13,1,0.004480554199831984,10,33.00953912734985,4,0.0993
0.0046,1,1,0.00021811611654094117,0,225.08597946166992,5,0.0046
0.0077,3,1,0.00021772100152570262,0,210.6922779083252,5,0.0077
0.0493,10,1,0.00021326380046336282,0,180.80324935913086,5,0.0493
0.1214,46,1,0.0001308725330226883,0,97.01473569869995,5,0.1214
0.1214,56,1,9.98842576821351e-05,10,89.50914669036865,5,0.1199
0.0127,1,1,0.001173541888439511,0,215.12988090515137,6,0.0127
0.0722,3,1,0.0011714160298441567,0,174.40351104736328,6,0.0722
0.1178,10,1,0.0011474347109264827,1,89.18576836585999,6,0.1173
0.1251,16,1,0.0011071733570087799,0,61.17704463005066,6,0.1251
0.1251,26,1,0.0010039921462869348,10,36.0036758184433,6,0.1139
0.0455,1,1,0.0037388944374669173,0,205.7054958343506,7,0.0455
0.1239,3,1,0.0037321214701316135,0,126.90277242660522,7,0.1239
0.1239,10,1,0.0036557171928001593,7,45.819212198257446,7,0.1076
0.1239,13,1,0.003598561983178933,10,33.720998883247375,7,0.101
0.0267,1,1,0.0019590729966384676,0,211.17563343048096,8,0.0267
0.1083,3,1,0.0019555241568315067,0,150.58386135101318,8,0.1083
0.1231,9,1,0.0019237985448975767,0,71.48918199539185,8,0.1231
0.1231,10,1,0.0019154905161253687,1,65.29128789901733,8,0.1211
0.1231,19,1,0.0018040380105452042,10,30.88508379459381,8,0.1073
0.0063,1,1,0.0008741901238646993,0,217.28693771362305,9,0.0063
0.0471,3,1,0.0008726065377932529,0,185.1845417022705,9,0.0471
0.1151,10,1,0.0008547424697428514,0,104.66174745559692,9,0.1151
0.1242,24,1,0.0007656845552875079,0,53.82940697669983,9,0.1242
0.1242,34,1,0.0006667402412883566,10,36.93622541427612,9,0.1157
0.0054,1,1,0.0006380131344207534,0,219.61482620239258,10,0.0054
0.0323,3,1,0.0006368573804428865,0,193.3675994873047,10,0.0323
0.1101,10,1,0.000623819587245275,0,121.73485660552979,10,0.1101
0.1225,27,1,0.0005390437347478171,0,63.46949052810669,10,0.1225
0.1225,37,1,0.00046193384685780744,10,48.48073387145996,10,0.1203
0.0159,1,1,0.0015158515629691608,0,213.2314682006836,11,0.0159
0.0915,3,1,0.0015131056140548836,0,162.9194073677063,11,0.0915
0.1198,10,1,0.0014821291997304184,1,76.5483467578888,11,0.1197
0.1246,13,1,0.0014589568916363543,0,61.15818381309509,11,0.1246
0.1246,23,1,0.0013423921129131927,10,31.306005597114563,11,0.1106
0.0062,1,1,0.0008100317502876754,0,217.85906600952148,12,0.0062
0.0415,3,1,0.0008085643864246361,0,187.44219589233398,12,0.0415
0.1143,10,1,0.000792011394214941,0,108.73180484771729,12,0.1143
0.1233,21,1,0.0007322109332544742,0,64.40217399597168,12,0.1233
0.1233,31,1,0.0006475759523125844,10,44.86831605434418,12,0.1187
0.0586,1,1,0.005165316840568292,0,203.2516107559204,13,0.0586
0.1255,3,1,0.005155959924286546,0,119.77055644989014,13,0.1255
0.1255,10,1,0.00505040671678305,7,44.03955006599426,13,0.1002
0.1255,13,1,0.0049714462722665305,10,34.00283193588257,13,0.0973
0.0152,1,1,0.001232772794892454,0,214.77580165863037,14,0.0152
0.0758,3,1,0.0012305396401427536,0,172.39269351959229,14,0.0758
0.1183,10,1,0.0012053479381348607,2,86.70582890510559,14,0.1183
0.1247,15,1,0.0011713698900898408,0,62.538256883621216,14,0.1247
0.1247,25,1,0.0010674084859495431,10,35.842697739601135,14,0.1158
0.0054,1,1,0.0006299781817498765,0,219.70474433898926,15,0.0054
0.0317,3,1,0.0006288369830029451,0,193.63595008850098,15,0.0317
0.1098,10,1,0.000615963383997622,0,122.43847274780273,15,0.1098
0.1224,27,1,0.0005322551740386968,0,64.11607050895691,15,0.1224
0.1224,37,1,0.0004561163857487218,10,49.11287212371826,15,0.1201
0.0175,1,1,0.0013335716328270032,0,214.21206092834473,16,0.0175
0.0823,3,1,0.0013311558820590986,0,169.03125715255737,16,0.0823
0.1194,10,1,0.00130390435662023,0,82.81103348731995,16,0.1194
0.1249,13,1,0.0012835184999200906,0,66.94967293739319,16,0.1249
0.1249,23,1,0.00118097054200033,10,36.434590101242065,16,0.1125
0.0054,1,1,0.000616481467220531,0,219.85723400115967,17,0.0054
0.0314,3,1,0.0006153647176278001,0,194.08495712280273,17,0.0314
0.1095,10,1,0.0006027669238737913,0,123.64489221572876,17,0.1095
0.1223,30,1,0.0005000955571918603,0,59.929025173187256,17,0.1223
0.1223,40,1,0.0004215309661938568,10,46.83281087875366,17,0.1183
0.0071,1,1,0.0009643675604489507,0,216.5553903579712,18,0.0071
0.0535,3,1,0.0009626206189143904,0,181.94495582580566,18,0.0535
0.1156,10,1,0.0009429137756829676,0,99.44423294067383,18,0.1156
0.1239,17,1,0.0009029418420806798,0,67.25569105148315,18,0.1239
0.1239,27,1,0.0008147736518402533,10,43.286733508110046,18,0.1209
0.0063,1,1,0.000884891745152981,0,217.19571590423584,19,0.0063
0.0478,3,1,0.0008832887732088837,0,184.80412673950195,19,0.0478
0.1151,10,1,0.0008652060176147494,0,104.01342105865479,19,0.1151
0.1241,24,1,0.0007750578779930405,0,53.245009422302246,19,0.1241
0.1241,34,1,0.0006749023119468326,10,36.37392473220825,19,0.1151
0.005,1,1,0.00048207338144533763,0,221.48007202148438,20,0.005
0.0223,3,1,0.00048120011066426664,0,198.57559394836426,20,0.0223
0.1068,10,1,0.0004713489450467064,0,137.66559219360352,20,0.1068
0.1212,40,1,0.0003296268729264166,0,59.30836510658264,20,0.1212
0.1212,50,1,0.00026175781110254694,10,50.523295640945435,20,0.1184
