stage_name,stage_key,split,aggregation_level,node_kind,node_name,route_space,support_size,wrapper_name,source_type,temperature,top_k,entropy_norm,n_eff_norm,top1_monopoly_norm,jitter_adj_norm,knn_consistency_score,knn_consistency_js,n_eff,cv_usage,top1_max_frac,entropy_mean
macro,macro@1,best_valid,token,final,final.expert,expert,12,GroupConditionalProductWrapper,,,,0.9362622945712843,0.957271722276665,0.16696306469694036,0.5174925065567628,0.9822681005943761,0.017890993027556555,11.48726066731998,0.21127102639463466,0.23638280930552866,2.326524401725956
macro,macro@1,best_valid,token,final,final.group,group,4,GroupConditionalProductWrapper,,,,0.8981146995038136,0.9590572377792231,0.23828379997274052,0.0,0.9851071142386816,0.015004898302421398,3.8362289511168925,0.20661723355157574,0.4287128499795554,1.2450513435610218
macro,macro@1,best_valid,token,final,final.intra.Exposure,intra,3,GroupConditionalProductWrapper,,,,0.9968760533709758,0.9975993586238788,0.5619149073536058,0.0,0.9997690346493338,0.00023099202727054998,2.9927980758716366,0.04905467893020275,0.7079432715690706,1.0951802825123205
macro,macro@1,best_valid,token,final,final.intra.Focus,intra,3,GroupConditionalProductWrapper,,,,0.9909932501397284,0.9986205380987698,0.2502421073019562,0.0,0.9989907951862164,0.0010097144038443422,2.9958616142963095,0.037166109132286636,0.5001614048679708,1.0887173625906557
macro,macro@1,best_valid,token,final,final.intra.Memory,intra,3,GroupConditionalProductWrapper,,,,0.9790340498664241,0.9998292320570671,0.36206339983213887,0.0,0.9944075056247079,0.005608190921212713,2.9994876961712014,0.013067893760118075,0.5747089332214259,1.0755788382077605
macro,macro@1,best_valid,token,final,final.intra.Tempo,intra,3,GroupConditionalProductWrapper,,,,0.978697824093816,0.9976360189953352,0.19061914907353605,0.0,0.9968805276314108,0.0031243480648919684,2.9929080569860056,0.048678862342868376,0.46041276604902404,1.0752094564422063
mid,mid@1,best_valid,token,final,final.expert,expert,12,GroupConditionalProductWrapper,,,,0.8361876523935939,0.9651691578548726,0.22302631192811326,0.5048707381041588,0.969212324097019,0.031271574378742235,11.58202989425847,0.18996726900436672,0.2877741192674371,2.0778482579034585
mid,mid@1,best_valid,token,final,final.group,group,4,GroupConditionalProductWrapper,,,,0.7969596065330217,0.9819477748871128,0.25220048636666886,0.0,0.9758105534602111,0.02448681647112925,3.9277910995484513,0.13558781147003174,0.43915036477500163,1.1048206085770547
mid,mid@1,best_valid,token,final,final.intra.Exposure,intra,3,GroupConditionalProductWrapper,,,,0.8836604798270964,0.9353657330775315,0.5031635354122279,0.0,0.9908384804922215,0.009203744321119079,2.8060971992325943,0.262869886670414,0.6687756902748186,0.9708002621484064
mid,mid@1,best_valid,token,final,final.intra.Focus,intra,3,GroupConditionalProductWrapper,,,,0.6654413067244341,0.9730782633227123,0.26625347020466134,0.0,0.9851111767179241,0.01500077441497081,2.919234789968137,0.16633295144638563,0.5108356468031076,0.7310619969548282
mid,mid@1,best_valid,token,final,final.intra.Memory,intra,3,GroupConditionalProductWrapper,,,,0.9666751893267719,0.9987857797882222,0.24510943250048423,0.0,0.9969647192398055,0.0030398965673880027,2.9963573393646667,0.03486731637664686,0.4967396216669895,1.0620012421449632
mid,mid@1,best_valid,token,final,final.intra.Tempo,intra,3,GroupConditionalProductWrapper,,,,0.9994654662396727,0.9994464899860795,0.786913293304926,0.0,0.9999638081697482,3.619248519195954e-05,2.9983394699582386,0.02353351399947661,0.8579421955366174,1.0980250433103063
micro,micro@1,best_valid,token,final,final.expert,expert,12,GroupConditionalProductWrapper,,,,0.9088833306909495,0.9500539774567671,0.17405314035180394,0.5995222929936306,0.9745064393401054,0.02582415221632715,11.400647729481205,0.22928572137441058,0.24288204532248692,2.2584902323154066
micro,micro@1,best_valid,token,final,final.group,group,4,GroupConditionalProductWrapper,,,,0.8791129407309681,0.9544561268729331,0.21917346360499565,0.0,0.9755753026028292,0.024727928046054927,3.8178245074917325,0.21844255924224854,0.41438009770374673,1.2187093125228656
micro,micro@1,best_valid,token,final,final.intra.Exposure,intra,3,GroupConditionalProductWrapper,,,,0.9881848390550089,0.9913231535676997,0.5654658144489637,0.0,0.9995982094660071,0.00040187127343714314,2.973969460703099,0.09355667696247652,0.7103105429659758,1.085632007661351
micro,micro@1,best_valid,token,final,final.intra.Focus,intra,3,GroupConditionalProductWrapper,,,,0.7654081003532789,0.965357923549148,0.39815352831041384,0.0,0.9970894888925815,0.0029147548812391783,2.896073770647444,0.18943391175765062,0.5987690188736092,0.840886744894226
micro,micro@1,best_valid,token,final,final.intra.Memory,intra,3,GroupConditionalProductWrapper,,,,0.9908025640620456,0.9982249115698472,0.48582865259216224,0.0,0.9997891446746955,0.00021087755841395336,2.9946747347095415,0.04216886465493248,0.6572191017281082,1.0885078725224353
micro,micro@1,best_valid,token,final,final.intra.Tempo,intra,3,GroupConditionalProductWrapper,,,,0.9979727278755316,0.9997973256883225,0.3077022402995675,0.0,0.9998933287401068,0.00010667694967666776,2.9993919770649673,0.01423681438381033,0.5384681601997117,1.0963851025996945
