early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
False,100,0.2137,ok,0.301,0.2153,1
False,100,0.2109,ok,0.3002,0.2134,2
False,100,0.2203,ok,0.3018,0.2207,3
False,100,0.2119,ok,0.2997,0.2143,4
True,90,0.2349,ok,0.2933,0.2345,5
False,100,0.1975,ok,0.2999,0.1998,6
True,26,0.2353,ok,0.2981,0.2335,7
True,27,0.2355,ok,0.2941,0.2393,8
True,22,0.2329,ok,0.2922,0.2341,9
True,22,0.2335,ok,0.2912,0.2359,10
True,42,0.2351,ok,0.296,0.2374,11
True,20,0.2342,ok,0.2925,0.2336,12
True,59,0.235,ok,0.2944,0.236,13
True,42,0.2356,ok,0.296,0.2372,14
True,68,0.2347,ok,0.2946,0.2343,15
True,20,0.2347,ok,0.293,0.2331,16
True,35,0.2372,ok,0.2984,0.2371,17
True,20,0.2326,ok,0.2848,0.2298,18
True,32,0.235,ok,0.2954,0.2401,19
True,20,0.2324,ok,0.2986,0.2318,20
