early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,25,0.0724,ok,0.1837,0.071,1
True,16,0.0133,ok,0.0281,0.0128,2
True,42,0.0736,ok,0.1832,0.0742,3
True,28,0.0775,ok,0.1883,0.0766,4
True,28,0.0149,ok,0.0323,0.0124,5
True,27,0.0768,ok,0.1846,0.0773,6
True,26,0.0159,ok,0.0341,0.0114,7
True,37,0.0732,ok,0.1684,0.0728,8
True,43,0.0768,ok,0.186,0.0762,9
True,66,0.0615,ok,0.138,0.0527,10
True,38,0.0599,ok,0.1394,0.054,11
True,21,0.0758,ok,0.168,0.0691,12
True,25,0.0745,ok,0.1878,0.0747,13
True,27,0.0783,ok,0.1864,0.0724,14
True,25,0.0778,ok,0.191,0.0781,15
True,27,0.0786,ok,0.1864,0.0717,16
True,55,0.0164,ok,0.0286,0.0106,17
True,27,0.0789,ok,0.1786,0.0756,18
True,27,0.0724,ok,0.1841,0.0705,19
True,47,0.0762,ok,0.185,0.0753,20
