best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0085,1,1,0.00019970661711300869,0,729.6370568275452,1,0.0085
0.0282,3,1,0.00019934485070933702,0,667.1638889312744,1,0.0282
0.0545,10,1,0.00019526384761764064,0,556.5092372894287,1,0.0545
0.0739,61,1,7.778361874828946e-05,0,484.57131814956665,1,0.0739
0.0739,71,1,5.318419558215099e-05,10,480.8052444458008,1,0.0719
0.0131,1,1,0.00136523495422934,0,703.653160572052,2,0.0131
0.0529,3,1,0.0013627618456929366,0,576.70929479599,2,0.0529
0.0705,10,1,0.001334863280539489,0,504.40192699432373,2,0.0705
0.0761,15,1,0.0012972342713175652,0,483.0289168357849,2,0.0761
0.0761,25,1,0.0011821021533708195,10,446.64387941360474,2,0.0694
0.0087,1,1,0.0065659865801390915,0,704.1739935874939,3,0.0087
0.0095,3,1,0.006554092365585804,0,684.7286639213562,3,0.0095
0.014,10,1,0.0064199164833794505,2,664.2906517982483,3,0.0117
0.0164,24,1,0.005751008135863659,0,656.4455690383911,3,0.0164
0.0164,34,1,0.00500784366835928,10,649.421760559082,3,0.0129
0.0094,1,1,0.004023150187334117,0,704.4628496170044,4,0.0094
0.0177,3,1,0.004015862293744295,0,661.5032548904419,4,0.0177
0.0457,10,1,0.00393364925248298,0,580.1218485832214,4,0.0457
0.0643,47,1,0.002356742052364047,0,499.68195629119873,4,0.0643
0.0643,57,1,0.001786315180824282,10,489.36992025375366,4,0.0598
0.0104,1,1,0.005095269138765612,0,703.9921207427979,5,0.0104
0.0119,3,1,0.005086039113147445,0,687.3609571456909,5,0.0119
0.0142,10,1,0.004981917329858908,0,665.0967330932617,5,0.0142
0.0142,20,1,0.004649832384613741,10,653.2339868545532,5,0.0137
0.0156,1,1,0.0013307023725743486,0,703.6463394165039,6,0.0156
0.0543,3,1,0.0013282918194407428,0,569.9855341911316,6,0.0543
0.0699,10,1,0.0013010989273117325,0,503.6664514541626,6,0.0699
0.0775,17,1,0.001245942834279957,0,474.80440855026245,6,0.0775
0.0775,27,1,0.0011242821472656588,10,440.3527407646179,6,0.0716
0.0081,1,1,0.00022010300821968327,0,727.2330355644226,7,0.0081
0.0308,3,1,0.00021970429397139227,0,658.908148765564,7,0.0308
0.0557,10,1,0.00021520649079380448,1,551.9219288825989,7,0.0552
0.074,52,1,0.00011323288884553258,0,484.89011240005493,7,0.074
0.074,62,1,8.280933949831585e-05,10,479.5710391998291,7,0.0725
0.011,1,1,0.0005563276159087258,0,711.3453741073608,8,0.011
0.0479,3,1,0.0005553198343750942,0,591.8252205848694,8,0.0479
0.062,10,1,0.0005439512840819667,0,519.8589482307434,8,0.062
0.0766,28,1,0.0004639425355740932,0,470.7822542190552,8,0.0766
0.0766,38,1,0.0003954153197983458,10,452.77627515792847,8,0.0703
0.008,1,1,0.0002554340359614689,0,723.9053230285645,9,0.008
0.0353,3,1,0.00025497131993382303,0,645.4691262245178,9,0.0353
0.056,10,1,0.00024975152749252724,1,545.5497355461121,9,0.0559
0.0728,46,1,0.0001532637745281472,0,482.4568247795105,9,0.0728
0.0728,56,1,0.0001169736536363377,10,475.1843819618225,9,0.0695
0.008,1,1,0.00025835500438982844,0,723.6683979034424,10,0.008
0.0357,3,1,0.00025788699705907585,0,644.3925905227661,10,0.0357
0.0563,10,1,0.0002526075146517729,0,545.077392578125,10,0.0563
0.0723,36,1,0.00019043444284471133,0,491.76578998565674,10,0.0723
0.0723,46,1,0.00015501639392721375,10,481.9440817832947,10,0.0722
0.0172,1,1,0.0012719689643192827,0,703.6779913902283,11,0.0172
0.0553,3,1,0.0012696648061273517,0,567.9787273406982,11,0.0553
0.0685,10,1,0.001243672130716945,0,503.7709379196167,11,0.0685
0.0745,19,1,0.0011713092691304492,0,467.71007537841797,11,0.0745
0.0745,29,1,0.00104646253960553,10,435.14537382125854,11,0.0719
0.0169,1,1,0.0013054013002763972,0,703.6537957191467,12,0.0169
0.0555,3,1,0.0013030365797649978,0,568.6639442443848,12,0.0555
0.068,10,1,0.0012763607148420153,0,503.52522134780884,12,0.068
0.0728,15,1,0.0012403808584705966,0,482.56500816345215,12,0.0728
0.0728,25,1,0.0011302945938275288,10,446.8097834587097,12,0.0696
0.0091,1,1,0.00305275382285333,0,705.147449016571,13,0.0091
0.0196,3,1,0.003047223791912174,0,652.0023493766785,13,0.0196
0.0552,10,1,0.0029848407924434957,0,544.7072410583496,13,0.0552
0.0714,33,1,0.002366420339266306,0,475.63952112197876,13,0.0714
0.0714,43,1,0.001960809788146506,10,453.75627756118774,13,0.0648
0.0082,1,1,0.003958160816331513,0,704.553867816925,14,0.0082
0.018,3,1,0.003950990650293059,0,664.3171362876892,14,0.018
0.0244,10,1,0.003870105666298064,0,628.0586309432983,14,0.0244
0.0598,44,1,0.002486849195109327,0,519.424277305603,14,0.0598
0.0598,54,1,0.001923937070933875,10,508.2738256454468,14,0.0563
0.0082,1,1,0.0003160991856941249,0,719.8392157554626,15,0.0082
0.037,3,1,0.0003155265753957521,0,626.9856820106506,15,0.037
0.0588,10,1,0.00030906709111451546,2,537.2946772575378,15,0.0577
0.0708,30,1,0.00025642262874554116,0,491.32459259033203,15,0.0708
