early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,12,0.2849,ok,0.4375,0.2849,1
True,12,0.2825,ok,0.4317,0.2844,2
True,41,0.2841,ok,0.438,0.287,3
True,25,0.2863,ok,0.4375,0.2872,4
True,65,0.2842,ok,0.4401,0.2885,5
True,52,0.2841,ok,0.4384,0.287,6
True,12,0.2855,ok,0.4424,0.2853,7
True,12,0.2842,ok,0.4419,0.2858,8
True,14,0.284,ok,0.429,0.285,9
True,12,0.2852,ok,0.4305,0.2855,10
True,12,0.2825,ok,0.4427,0.2838,11
True,65,0.2842,ok,0.4404,0.2886,12
True,14,0.2844,ok,0.4408,0.2848,13
True,12,0.2844,ok,0.4417,0.2856,14
True,22,0.285,ok,0.4389,0.2862,15
True,81,0.2845,ok,0.4426,0.2884,16
True,17,0.2851,ok,0.4351,0.2854,17
True,14,0.2843,ok,0.4379,0.2842,18
True,19,0.2855,ok,0.4398,0.2857,19
True,19,0.2864,ok,0.4409,0.2869,20
