early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2902,ok,0.444,0.2915,1
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2901,ok,0.4431,0.2907,2
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288,ok,0.4442,0.2896,3
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2901,ok,0.4429,0.2907,4
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2881,ok,0.4407,0.2886,5
True,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2897,ok,0.444,0.2905,6
True,13,1.0,1.0,0.0,0.1647367130298402,0.0,2.2664260932384166,0.6466701030731201,0.45157745480537415,0.0,0.15497194558818667,1.1979870524591836,3.906187515075543,0.7346187342218694,4.8955677561952875,11.682946178675328,4.8955677561952875,0.01748301558085245,0.9826689255842539,0.007297063807328867,0.9927294951227755,0.011994407025474241,0.9880837239515623,0.011493882725480842,0.9885719195952305,0.011703665988234805,0.9883645555039892,0.0034490733356209178,0.9965568678852846,0.0006261319343877905,0.9993741709139093,0.004121157626782574,0.9958873226897365,0.0,0.0,7.6201090980358,4.8955677561952875,0.727563360562666,0.2909,ok,0.4453,0.2913,7
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2879,ok,0.4462,0.2889,8
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2904,ok,0.4444,0.2921,9
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2878,ok,0.4452,0.2894,10
