best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.2411,1,1,0.0025798609557784093,0,996.8023552894592,1,0.2411
0.2803,3,1,0.0025751875652146065,0,489.39416575431824,1,0.2803
0.2833,4,1,0.0025711034955988327,0,445.29154086112976,1,0.2833
0.2833,10,1,0.0025224681276272147,6,309.3521876335144,1,0.261
0.2833,14,1,0.0024677238180645213,10,252.6064431667328,1,0.251
0.2666,1,1,0.003962187700621324,0,927.3817324638367,2,0.2666
0.2822,2,1,0.003959495023114769,0,573.4203510284424,2,0.2822
0.2822,3,1,0.003955010239924992,1,491.7930359840393,2,0.2787
0.2822,10,1,0.003874042966582383,8,317.30974984169006,2,0.2565
0.2822,12,1,0.003835337756476064,10,288.46717977523804,2,0.2543
0.2254,1,1,0.001682420998599018,0,1071.8158230781555,3,0.2254
0.2752,3,1,0.0016793733109313606,0,527.9445362091064,3,0.2752
0.2844,7,1,0.0016641961829910886,0,379.8727090358734,3,0.2844
0.2844,10,1,0.001644993051548507,3,325.219055891037,3,0.2708
0.2844,17,1,0.0015752586233023023,10,228.9749377965927,3,0.2515
0.2718,1,1,0.00465528154102323,0,910.3974175453186,4,0.2718
0.2816,3,1,0.00464684854823851,0,496.17524433135986,4,0.2816
0.2816,10,1,0.004551717907920857,7,322.8693497180939,4,0.2563
0.2816,13,1,0.004480554199831984,10,283.25737738609314,4,0.2486
0.1281,1,1,0.00021811611654094117,0,1257.6475944519043,5,0.1281
0.1663,3,1,0.00021772100152570262,0,1106.1844758987427,5,0.1663
0.2162,10,1,0.00021326380046336282,0,677.3118495941162,5,0.2162
0.2818,52,1,0.0001122107243307134,0,317.5199661254883,5,0.2818
0.2818,62,1,8.206181137999448e-05,10,300.8860945701599,5,0.2795
0.2051,1,1,0.001173541888439511,0,1125.3920259475708,6,0.2051
0.2655,3,1,0.0011714160298441567,0,606.4528608322144,6,0.2655
0.2862,8,1,0.001156877892312869,0,379.71276569366455,6,0.2862
0.2862,10,1,0.0011474347109264827,2,350.4260256290436,6,0.2818
0.2862,18,1,0.0010899557913958589,10,248.0304000377655,6,0.2604
0.2647,1,1,0.0037388944374669173,0,935.0841464996338,7,0.2647
0.2831,2,1,0.0037363535086387422,0,574.3969631195068,7,0.2831
0.2831,3,1,0.0037321214701316135,1,490.1366238594055,7,0.2784
0.2831,10,1,0.0036557171928001593,8,315.2899167537689,7,0.2572
0.2831,12,1,0.003619193255596273,10,286.07219076156616,7,0.2527
0.22,1,1,0.0019590729966384676,0,1045.7024326324463,8,0.22
0.2778,3,1,0.0019555241568315067,0,507.5409903526306,8,0.2778
0.2856,4,1,0.001952422830582612,0,449.6139295101166,8,0.2856
0.2856,10,1,0.0019154905161253687,6,316.49487257003784,8,0.2675
0.2856,14,1,0.001873919245261459,10,255.07034349441528,8,0.256
0.1739,1,1,0.0008741901238646993,0,1159.5977029800415,9,0.1739
0.2528,3,1,0.0008726065377932529,0,698.2464594841003,9,0.2528
0.284,9,1,0.0008584497316539236,0,385.1557025909424,9,0.284
0.284,10,1,0.0008547424697428514,1,371.7320532798767,9,0.2822
0.284,19,1,0.0008050094175159388,10,272.95375084877014,9,0.2695
0.1548,1,1,0.0006380131344207534,0,1187.5581874847412,10,0.1548
0.2385,3,1,0.0006368573804428865,0,812.1601014137268,10,0.2385
0.2766,10,1,0.000623819587245275,0,401.5892198085785,10,0.2766
0.283,15,1,0.000606234480707786,0,346.56315183639526,10,0.283
0.283,25,1,0.0005524299665352286,10,266.8839337825775,10,0.2678
0.2228,1,1,0.0015158515629691608,0,1088.6782236099243,11,0.2228
0.2784,3,1,0.0015131056140548836,1,546.3952069282532,11,0.2721
0.2843,7,1,0.0014994311097965547,0,384.09512758255005,11,0.2843
0.2843,10,1,0.0014821291997304184,3,332.238445520401,11,0.2731
