early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1872,0.1609,1
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,ok,0.1873,0.1606,2
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.188,0.1614,3
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.1888,0.1612,4
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1864,0.1606,5
True,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.1867,0.161,6
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1885,0.1613,7
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1881,0.1614,8
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1882,0.1614,9
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1861,0.1608,10
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.187,0.161,11
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1864,0.1606,12
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1878,0.1614,13
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0792,ok,0.1876,0.161,14
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1848,0.1603,15
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1866,0.1609,16
True,25,1.0,1.0,0.0,0.0284256284035555,0.0,1.096770038217307,0.25202566385269165,0.22295089066028595,0.0,0.0,6.192939754767445e-09,1.0,1.0,4.156170292804968,2.9975779553197435,4.156170292804968,0.0,1.0,0.0,1.0,-5.909851422059323e-10,1.000000000590985,8.114228067025372e-06,0.9999918858048532,8.114382542501201e-06,0.999991885650379,0.0,0.0,7.34616490757344,4.156170292804968,0.6871312647242414,0.0794,ok,0.1874,0.1613,17
True,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1854,0.16,18
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793,ok,0.189,0.1611,19
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,ok,0.1882,0.161,20
