best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0533,1,1,0.0050170499806146285,0,352.0481081008911,1,0.0533
0.0778,3,1,0.00500796164816593,0,288.1170630455017,1,0.0778
0.079,5,1,0.0049898215787756335,0,268.28191089630127,1,0.079
0.079,10,1,0.004905438272736175,5,248.39094638824463,1,0.0781
0.079,15,1,0.004767156858681721,10,235.2207384109497,1,0.0775
0.037,1,1,0.0001816805235960321,0,389.32936573028564,2,0.037
0.0508,3,1,0.00018135141126821507,0,359.15840101242065,2,0.0508
0.0691,10,1,0.00017763877125049918,0,319.11670446395874,2,0.0691
0.08,43,1,0.00011669494812055062,0,264.0192747116089,2,0.08
0.08,53,1,9.088316411075716e-05,10,258.32626247406006,2,0.0798
0.0546,1,1,0.0019546819621809115,0,356.1827669143677,3,0.0546
0.0778,3,1,0.001951141076685966,0,292.71806144714355,3,0.0778
0.0795,7,1,0.0019335078812804964,0,259.029501914978,3,0.0795
0.0795,10,1,0.0019111971667331506,3,245.4963550567627,3,0.0784
0.0795,17,1,0.0018301778326013478,10,222.89985942840576,3,0.0771
0.0391,1,1,0.00029866646405057596,0,382.7382221221924,4,0.0391
0.0549,3,1,0.00029812543294124736,0,351.92248487472534,4,0.0549
0.0769,10,1,0.0002920221861845978,0,300.852334022522,4,0.0769
0.0799,23,1,0.0002644899510792809,0,266.8980903625488,4,0.0799
0.0799,33,1,0.00023151896163229826,10,253.8623504638672,4,0.0796
0.0379,1,1,0.00015795013968124735,0,390.876971244812,5,0.0379
0.0461,3,1,0.00015766401469040846,0,361.07679748535156,5,0.0461
0.0654,10,1,0.00015443630487442235,0,324.42202520370483,5,0.0654
0.0798,46,1,9.477215713902641e-05,0,267.54827880859375,5,0.0798
0.0798,56,1,7.233180520105947e-05,10,262.3427596092224,5,0.0798
0.0177,1,1,0.006323575788766595,0,367.2612142562866,6,0.0177
0.0311,3,1,0.006312120698772492,0,322.6738224029541,6,0.0311
0.08,10,1,0.006182898479110489,0,268.5658221244812,6,0.08
0.0804,11,1,0.006153358641254227,0,265.81681728363037,6,0.0804
0.0804,21,1,0.00571606153481492,10,244.1101098060608,6,0.0794
0.0475,1,1,0.0014005064755861316,0,361.68452739715576,7,0.0475
0.0771,3,1,0.0013979694730655544,0,301.33106756210327,7,0.0771
0.0798,7,1,0.001385335497396652,0,265.2324137687683,7,0.0798
0.0798,10,1,0.0013693501346608908,3,251.52623987197876,7,0.079
0.0798,17,1,0.0013113007413096235,10,229.4047451019287,7,0.0774
0.0502,1,1,0.0015770688082925367,0,359.8181838989258,8,0.0502
0.0775,3,1,0.0015742119649922674,0,298.0115203857422,8,0.0775
0.0798,7,1,0.001559985219668713,0,262.75384759902954,8,0.0798
0.0798,10,1,0.0015419845767589682,3,249.10385704040527,8,0.0788
0.0798,17,1,0.001476616876437359,10,226.58390378952026,8,0.0773
0.0366,1,1,0.00023825729777464527,0,385.90897369384766,9,0.0366
0.0573,3,1,0.00023782569722474617,0,355.6003098487854,9,0.0573
0.0747,10,1,0.00023295691128818736,0,309.1238646507263,9,0.0747
0.0799,33,1,0.00018469124867250653,0,262.34516620635986,9,0.0799
0.0799,43,1,0.00015303469217743952,10,253.56761407852173,9,0.0797
0.0182,1,1,0.0076971101458434615,0,365.04091453552246,10,0.0182
0.0234,3,1,0.007683166913033349,0,330.4784803390503,10,0.0234
0.0275,7,1,0.007613731245295542,0,318.81549549102783,10,0.0275
0.0275,10,1,0.007525876529988408,3,317.62271547317505,10,0.0271
0.0275,17,1,0.00720684010829882,10,315.7974181175232,10,0.0264
0.0542,1,1,0.0006794384703725132,0,371.16560554504395,11,0.0542
0.0669,3,1,0.0006782076748410674,0,324.5209460258484,11,0.0669
0.0798,10,1,0.0006643233552411883,0,271.0756850242615,11,0.0798
0.08,13,1,0.0006539370100666036,0,260.61322259902954,11,0.08
0.08,23,1,0.0006016900771282322,10,237.77581024169922,11,0.0788
0.0405,1,1,0.0003164162996764015,0,381.89975452423096,12,0.0405
0.0544,3,1,0.0003158431149294371,1,350.6885905265808,12,0.0543
0.0773,10,1,0.00030937715042655934,0,298.708945274353,12,0.0773
0.08,23,1,0.0002802086665074211,0,264.73501110076904,12,0.08
0.08,33,1,0.00024527820147965927,10,251.69253396987915,12,0.0794
0.0551,1,1,0.0007040035333909707,0,370.7132000923157,13,0.0551
0.0677,3,1,0.0007027282385102663,0,323.248113155365,13,0.0677
0.0798,10,1,0.0006883419320479826,0,269.92571544647217,13,0.0798
0.08,13,1,0.0006775800690967767,0,259.5202169418335,13,0.08
0.08,23,1,0.0006234441509800292,10,236.54497528076172,13,0.0787
0.0485,1,1,0.0014416066793121673,0,361.23878288269043,14,0.0485
0.0772,3,1,0.0014389952242115649,0,300.5025396347046,14,0.0772
0.0798,7,1,0.0014259904834066825,0,264.60135793685913,14,0.0798
0.0798,10,1,0.0014095360034790145,3,250.90588521957397,14,0.079
0.0798,17,1,0.0013497830536397908,10,228.71770429611206,14,0.0774
0.0444,1,1,0.00037637225743793797,0,379.35398530960083,15,0.0444
0.0579,3,1,0.00037569046311392685,1,346.0112352371216,15,0.0543
0.0782,10,1,0.00036799929910325316,0,292.2653241157532,15,0.0782
0.08,23,1,0.00033330384204267925,0,258.43831396102905,15,0.08
0.08,33,1,0.00029175459824802986,10,245.16330432891846,15,0.0791
0.0428,1,1,0.0004728123431306676,0,376.05259466171265,16,0.0428
0.0578,3,1,0.00047195584862157896,0,338.04908514022827,16,0.0578
0.079,10,1,0.0004622939322464367,0,283.8240776062012,16,0.079
0.0799,15,1,0.00044926213873368824,0,267.01040601730347,16,0.0799
0.0799,25,1,0.0004093892316656695,10,247.42610597610474,16,0.0793
0.0428,1,1,0.00046313153226775253,0,376.34624767303467,17,0.0428
0.0573,3,1,0.0004622925744441334,0,338.8209476470947,17,0.0573
0.0789,10,1,0.0004528284853600084,0,284.58224534988403,17,0.0789
0.0799,15,1,0.00044006351721684767,0,267.72829484939575,17,0.0799
0.0799,25,1,0.0004010070060773367,10,248.16073846817017,17,0.0794
0.0376,1,1,0.00027106532066883856,0,384.12487411499023,18,0.0376
0.0574,3,1,0.00027057428873591575,0,353.68196392059326,18,0.0574
0.0762,10,1,0.00026503507111912936,0,304.4160647392273,18,0.0762
0.0799,28,1,0.00022605157209729148,0,263.2826633453369,18,0.0799
0.0799,38,1,0.0001926623403072176,10,252.72345733642578,18,0.0796
0.049,1,1,0.0014718301883593857,0,360.91469144821167,19,0.049
0.0773,3,1,0.001469163983694986,0,299.91223430633545,19,0.0773
0.0798,7,1,0.001455886596469264,0,264.157386302948,19,0.0798
0.0798,10,1,0.001439087145801589,3,250.47189569473267,19,0.0789
0.0798,17,1,0.0013780814660423531,10,228.2256302833557,19,0.0774
0.0636,1,1,0.0028087135191968973,0,349.7725338935852,20,0.0636
0.0781,3,1,0.002803625564659022,0,286.0700149536133,20,0.0781
0.0791,6,1,0.0027865041176834662,0,260.93181848526,20,0.0791
0.0791,10,1,0.002746229526804925,4,242.7973108291626,20,0.0782
0.0791,16,1,0.002649869430788078,10,224.0151810646057,20,0.0775
