early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,18,0.0806,ok,0.1884,0.1615,1
True,22,0.0809,ok,0.1897,0.1621,2
True,44,0.081,ok,0.1892,0.1621,3
True,35,0.081,ok,0.1892,0.1622,4
True,35,0.081,ok,0.1893,0.1622,5
True,14,0.0806,ok,0.1896,0.162,6
True,14,0.0797,ok,0.1875,0.1614,7
True,14,0.0806,ok,0.1893,0.162,8
True,14,0.0799,ok,0.1878,0.1616,9
True,14,0.0806,ok,0.1894,0.1621,10
True,15,0.0801,ok,0.1884,0.161,11
True,19,0.0806,ok,0.1893,0.1622,12
True,14,0.0804,ok,0.1888,0.1613,13
True,35,0.081,ok,0.1891,0.1621,14
True,31,0.0808,ok,0.1892,0.162,15
True,15,0.0812,ok,0.1882,0.1616,16
True,14,0.0802,ok,0.1882,0.1612,17
True,50,0.081,ok,0.1895,0.162,18
True,14,0.0806,ok,0.1892,0.162,19
True,14,0.0806,ok,0.1886,0.1619,20
