early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0811,ok,0.1874,0.1613,1
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0813,ok,0.1885,0.1617,2
True,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0813,ok,0.1892,0.1622,3
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0813,ok,0.189,0.1618,4
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0806,ok,0.1862,0.1606,5
True,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0814,ok,0.1888,0.1624,6
True,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0812,ok,0.1875,0.1619,7
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0812,ok,0.1894,0.162,8
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0807,ok,0.1856,0.1604,9
True,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0813,ok,0.189,0.1622,10
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0806,ok,0.1854,0.1601,11
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0804,ok,0.1863,0.1607,12
False,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0555,ok,0.1366,0.0873,13
True,23,1.0,1.0,0.0,0.1187380921088512,0.0,2.2868123426198133,0.29948922991752625,0.11248616129159927,0.0,0.0720194912320149,1.2872139732211774,3.979359871386999,0.3855765638179105,3.743680572952376,11.83316975975314,3.743680572952376,0.01626352732974098,0.9838680097796787,0.021823784676441117,0.9784126311597199,0.01857171572434815,0.9816084511103029,0.02335093347189214,0.9769195898268972,0.012848617419318354,0.987233573674916,0.003286704101188293,0.9967186911982,0.0035896140446071163,0.9964222928333896,0.007045546121709451,0.9929792155510706,0.0,0.0,7.739190270489425,3.743680572952376,0.2753089154232863,0.0817,ok,0.1888,0.1623,14
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0807,ok,0.187,0.161,15
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0806,ok,0.1871,0.1604,16
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0816,ok,0.1888,0.1622,17
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0815,ok,0.1888,0.1623,18
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0816,ok,0.1891,0.1623,19
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0814,ok,0.1877,0.1618,20
