early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,15,0.0781,ok,0.1843,0.1593,1
True,49,0.0782,ok,0.1858,0.1592,2
True,15,0.078,ok,0.1836,0.1593,3
True,22,0.0782,ok,0.1847,0.1592,4
True,14,0.0779,ok,0.1845,0.1596,5
True,30,0.0782,ok,0.1849,0.1593,6
True,17,0.0781,ok,0.1852,0.1594,7
True,15,0.0781,ok,0.1843,0.1593,8
True,23,0.0782,ok,0.1848,0.159,9
True,14,0.078,ok,0.1837,0.159,10
True,17,0.0781,ok,0.185,0.1593,11
True,15,0.0781,ok,0.1847,0.1591,12
True,14,0.0779,ok,0.1839,0.159,13
True,14,0.0779,ok,0.184,0.1591,14
True,64,0.0781,ok,0.1854,0.1589,15
True,44,0.0782,ok,0.1852,0.1593,16
True,15,0.0781,ok,0.1838,0.1593,17
True,40,0.0783,ok,0.1858,0.1593,18
True,33,0.0782,ok,0.1856,0.1592,19
True,63,0.0782,ok,0.186,0.1592,20
