early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,15,0.0797,ok,0.1845,0.1604,1
True,37,0.08,ok,0.1871,0.1614,2
True,40,0.0801,ok,0.187,0.1612,3
True,15,0.0797,ok,0.186,0.1604,4
True,20,0.08,ok,0.1871,0.1615,5
True,17,0.0799,ok,0.188,0.1617,6
True,15,0.0797,ok,0.1843,0.1608,7
True,19,0.08,ok,0.1868,0.1615,8
True,19,0.08,ok,0.1871,0.1616,9
True,19,0.08,ok,0.1864,0.1615,10
True,19,0.08,ok,0.1871,0.1617,11
True,71,0.0801,ok,0.1873,0.1612,12
True,23,0.0801,ok,0.1868,0.1615,13
True,17,0.08,ok,0.1889,0.1617,14
True,15,0.0797,ok,0.1847,0.1608,15
True,27,0.0801,ok,0.1871,0.1616,16
True,15,0.0797,ok,0.1849,0.1604,17
True,48,0.0801,ok,0.1875,0.1615,18
True,14,0.0802,ok,0.1858,0.1607,19
True,17,0.0799,ok,0.188,0.1617,20
