best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.068,1,1,0.0013962938355840785,0,358.99839448928833,1,0.068
0.0786,3,1,0.0013937644642158663,0,296.1446509361267,1,0.0786
0.0808,7,1,0.0013811684907927343,0,259.8173122406006,1,0.0808
0.0808,10,1,0.0013652312110752822,3,245.74579572677612,1,0.0798
0.0808,17,1,0.0013073564268392098,10,219.39887142181396,1,0.0784
0.0746,1,1,0.002919429695273389,0,345.08908319473267,2,0.0746
0.079,3,1,0.0029141411795652007,0,278.9907822608948,2,0.079
0.08,4,1,0.0029095195529278625,0,268.4768943786621,2,0.08
0.08,10,1,0.0028544826575560927,6,233.1653265953064,2,0.0779
0.08,14,1,0.0027925327440824254,10,215.38148307800293,2,0.0778
0.0749,1,1,0.0033552409475921916,0,342.3993716239929,3,0.0749
0.0789,3,1,0.0033491629644556813,0,277.2029857635498,3,0.0789
0.0798,4,1,0.0033438514233135245,0,267.253201007843,3,0.0798
0.0798,10,1,0.0032805986430603537,6,232.64616346359253,3,0.078
0.0798,14,1,0.0032094008722343714,10,215.10578632354736,3,0.0777
0.0688,1,1,0.001464587671237467,0,358.20531272888184,4,0.0688
0.0787,3,1,0.0014619345863154704,0,294.66860008239746,4,0.0787
0.0807,7,1,0.0014487225338716255,0,258.7684531211853,4,0.0807
0.0807,10,1,0.0014320057492003824,3,244.59369277954102,4,0.0795
0.0807,17,1,0.0013713002635013616,10,217.7629017829895,4,0.0783
0.059,1,1,0.0003582439301501195,0,379.04628467559814,5,0.059
0.0704,3,1,0.0003575949750973468,0,345.0865125656128,5,0.0704
0.0791,10,1,0.00035027426330692685,0,289.661630153656,5,0.0791
0.0808,23,1,0.00031724994589218155,0,255.44317388534546,5,0.0808
0.0808,33,1,0.0002777019608916795,10,241.88997411727905,5,0.0799
0.0636,1,1,0.0004576079573520539,0,375.1912250518799,6,0.0636
0.0721,3,1,0.0004567790054253928,0,336.9857792854309,6,0.0721
0.08,10,1,0.00044742779054961424,0,280.16808700561523,6,0.08
0.0809,17,1,0.0004284604635289506,0,258.403440952301,6,0.0809
0.0809,27,1,0.0003866232355942345,10,240.0754156112671,6,0.0799
0.0752,1,1,0.003788294623791544,0,341.00323724746704,7,0.0752
0.0789,3,1,0.0037814321685463964,0,276.5234432220459,7,0.0789
0.0798,5,1,0.0037677348907413128,0,259.52676582336426,7,0.0798
0.0798,10,1,0.003704018398810356,5,233.20299816131592,7,0.0781
0.0798,15,1,0.003599604302985741,10,212.50537490844727,7,0.0774
0.0753,1,1,0.0035187388881941337,0,341.7167453765869,8,0.0753
0.0789,3,1,0.003512364730284677,0,276.8555312156677,8,0.0789
0.0797,5,1,0.0034996420809499463,0,259.5911874771118,8,0.0797
0.0797,10,1,0.0034404593298068024,5,232.73869132995605,8,0.078
0.0797,15,1,0.0033434748088177826,10,211.38416814804077,8,0.0774
0.0676,1,1,0.000576671103874661,0,371.63281440734863,9,0.0676
0.0738,3,1,0.0005756264703298844,0,327.789794921875,9,0.0738
0.0803,10,1,0.000563842201026115,0,271.62007570266724,9,0.0803
0.0808,17,1,0.0005399398426103,0,250.45275354385376,9,0.0808
0.0808,27,1,0.0004872171571137991,10,230.40150022506714,9,0.0791
0.0571,1,1,0.00020843609888312583,0,386.8351774215698,10,0.0571
0.0681,3,1,0.00020805851911647426,0,354.0030393600464,10,0.0681
0.0755,10,1,0.00020379912913601197,0,310.80653715133667,10,0.0755
0.0806,30,1,0.0001690853213800926,0,266.0634355545044,10,0.0806
0.0806,40,1,0.00014252215974637196,10,256.45892429351807,10,0.0805
0.0681,1,1,0.0007533577049739784,0,367.80197620391846,11,0.0681
0.0753,3,1,0.0007519930055386433,0,317.51238441467285,11,0.0753
0.0805,10,1,0.0007365981469826431,0,262.6955599784851,11,0.0805
0.0805,20,1,0.0006874979433637783,10,233.86308336257935,11,0.0794
0.0674,1,1,0.0013221367854249569,0,359.88370656967163,12,0.0674
0.0784,3,1,0.001319741748760976,0,297.8944525718689,12,0.0784
0.0808,7,1,0.0013078147464448827,0,261.09406566619873,12,0.0808
0.0808,10,1,0.001292723894335494,3,247.10432767868042,12,0.0799
0.0808,17,1,0.0012379228351049806,10,221.31333112716675,12,0.0785
0.0568,1,1,0.00021408423710454888,0,386.49721813201904,13,0.0568
0.0682,3,1,0.00021369642579584155,0,353.6392478942871,13,0.0682
0.0758,10,1,0.0002093216161568964,0,309.7537546157837,13,0.0758
0.0806,30,1,0.00017366714416168282,0,265.01500129699707,13,0.0806
0.0806,40,1,0.0001463841820264695,10,255.4244680404663,13,0.0806
0.0572,1,1,0.00020345117818291374,0,387.13597106933594,14,0.0572
0.0681,3,1,0.0002030826285468626,0,354.3375220298767,14,0.0681
0.0755,10,1,0.00019892510538024714,0,311.76268911361694,14,0.0755
0.0807,43,1,0.00013067842503531037,0,255.11754989624023,14,0.0807
0.0807,53,1,0.00010177363235939327,10,249.13907766342163,14,0.0805
0.0753,1,1,0.005393862810382613,0,338.6779718399048,15,0.0753
0.0788,3,1,0.005384091885517832,1,276.4781289100647,15,0.0786
0.08,5,1,0.005364589379854117,0,261.126371383667,15,0.08
0.08,10,1,0.005273868342985433,5,238.51893138885498,15,0.0779
0.08,15,1,0.0051252011023724415,10,220.8316249847412,15,0.0775
0.0747,1,1,0.0028810921420173684,0,345.3048052787781,16,0.0747
0.0791,3,1,0.0028758730743773885,0,279.12938022613525,16,0.0791
0.08,4,1,0.0028713121383117826,0,268.5700068473816,16,0.08
0.08,10,1,0.0028169979799563477,6,233.2260937690735,16,0.0779
0.08,14,1,0.00275586158431147,10,215.44301223754883,16,0.0779
0.0739,1,1,0.002235143036986025,0,350.3181290626526,17,0.0739
0.0791,3,1,0.002231094099249903,0,283.54506063461304,17,0.0791
0.0801,4,1,0.0022275557381053546,0,271.815655708313,17,0.0801
0.0801,10,1,0.0021854189695211675,6,236.06374168395996,17,0.0784
0.0801,14,1,0.0021379895287756906,10,218.52579879760742,17,0.0778
0.0656,1,1,0.00048146678851103235,0,374.39625215530396,18,0.0656
0.0726,3,1,0.00048059461656658234,0,335.00401163101196,18,0.0726
0.0799,10,1,0.00047075584667068663,0,278.2313394546509,18,0.0799
0.0808,15,1,0.0004574855167770614,0,261.43466329574585,18,0.0808
0.0808,25,1,0.0004168827685756838,10,241.2571530342102,18,0.0799
0.0753,1,1,0.0036819576965569922,0,341.29170417785645,19,0.0753
0.0788,3,1,0.003675287869519659,0,276.6463317871094,19,0.0788
0.0797,4,1,0.003669459116802815,0,266.9311079978943,19,0.0797
0.0797,10,1,0.003600047094024266,6,233.02710151672363,19,0.078
0.0797,14,1,0.0035219164368329994,10,215.89209175109863,19,0.0783
0.0728,1,1,0.001902472006867064,0,353.4567971229553,20,0.0728
0.0792,3,1,0.0018990256991484726,0,287.2859477996826,20,0.0792
0.0801,4,1,0.0018960139755512366,0,274.6754379272461,20,0.0801
0.0801,10,1,0.0018601486992066189,6,238.84742641448975,20,0.079
0.0801,14,1,0.0018197784938879897,10,221.6311936378479,20,0.0781
