early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,22,0.081,ok,0.19,0.162,1
True,29,0.0811,ok,0.1881,0.162,2
True,23,0.0811,ok,0.1876,0.1616,3
True,48,0.081,ok,0.1884,0.1618,4
True,22,0.081,ok,0.1897,0.162,5
True,14,0.08,ok,0.1864,0.1604,6
True,14,0.0798,ok,0.1879,0.1609,7
True,15,0.0799,ok,0.1851,0.1605,8
True,17,0.0806,ok,0.1885,0.1618,9
True,44,0.0811,ok,0.1877,0.1616,10
True,33,0.0812,ok,0.188,0.1619,11
True,29,0.0811,ok,0.188,0.1621,12
True,16,0.0799,ok,0.1829,0.1597,13
True,15,0.0799,ok,0.1841,0.1599,14
True,17,0.0807,ok,0.1894,0.1621,15
True,17,0.0806,ok,0.189,0.1619,16
True,17,0.0808,ok,0.19,0.1622,17
True,14,0.0802,ok,0.1866,0.1605,18
True,22,0.0811,ok,0.1895,0.1619,19
True,33,0.0812,ok,0.1879,0.1619,20
