best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0469,1,1,0.006683482486642578,0,353.044198513031,1,0.0469
0.0786,3,1,0.006671375429509728,0,283.38670778274536,1,0.0786
0.0796,5,1,0.006647210066089993,0,268.9686059951782,1,0.0796
0.0796,10,1,0.00653479851941239,5,249.77055549621582,1,0.0781
0.0796,15,1,0.006350586400212436,10,234.12949419021606,1,0.0776
0.0432,1,1,0.00016395367742277455,0,390.50781059265137,2,0.0432
0.0625,3,1,0.00016365667708744555,0,359.4494104385376,2,0.0625
0.0734,10,1,0.0001603062850266822,0,321.4596428871155,2,0.0734
0.0805,39,1,0.00011433122290766248,0,267.42620372772217,2,0.0805
0.0805,49,1,9.136579944842599e-05,10,260.3205394744873,2,0.0804
0.0644,1,1,0.0015148006662196575,0,359.3669571876526,3,0.0644
0.0786,3,1,0.0015120566209936165,0,295.62309885025024,3,0.0786
0.0799,4,1,0.0015096586036272134,0,281.8283452987671,3,0.0799
0.0799,10,1,0.0014811016817356552,6,243.4890432357788,3,0.0792
0.0799,14,1,0.0014489578111865225,10,226.4887180328369,3,0.0776
0.021,1,1,0.007067611381766026,0,361.3948335647583,4,0.021
0.0756,3,1,0.007054808479242853,0,299.5070610046387,4,0.0756
0.0802,8,1,0.006967253098989287,0,270.4355387687683,4,0.0802
0.0802,10,1,0.006910381898307009,2,264.5626015663147,4,0.08
0.0802,18,1,0.006564217291923476,10,243.7340521812439,4,0.0784
0.0701,1,1,0.002248313504276956,0,352.5322046279907,5,0.0701
0.0791,3,1,0.0022442407083800207,0,285.3902020454407,5,0.0791
0.0795,6,1,0.002230535365992909,0,257.8167634010315,5,0.0795
0.0795,10,1,0.0021982964402596267,4,235.74195194244385,5,0.0778
0.0795,16,1,0.002121162299071013,10,209.55777645111084,5,0.0763
0.0416,1,1,0.00017998900566322502,0,389.4702377319336,6,0.0416
0.0639,3,1,0.0001796629575020748,0,358.06912899017334,6,0.0639
0.0742,10,1,0.0001759848836395181,0,317.7444076538086,6,0.0742
0.0805,49,1,0.00010030174164342044,0,256.4346022605896,6,0.0805
0.0805,59,1,7.496185476489267e-05,10,251.51257610321045,6,0.0801
0.0635,1,1,0.0005996072986754853,0,372.2867259979248,7,0.0635
0.0731,3,1,0.0005985211164588271,0,327.7019181251526,7,0.0731
