early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,15,0.0802,ok,0.186,0.1602,1
True,14,0.0799,ok,0.1855,0.1601,2
True,24,0.081,ok,0.1889,0.1617,3
True,25,0.0809,ok,0.1896,0.162,4
True,48,0.0807,ok,0.1886,0.162,5
True,24,0.0809,ok,0.1885,0.1615,6
True,20,0.0806,ok,0.1884,0.1615,7
True,17,0.0805,ok,0.1885,0.1614,8
True,31,0.0809,ok,0.1881,0.1615,9
True,14,0.0801,ok,0.186,0.1601,10
True,14,0.08,ok,0.1858,0.1602,11
True,48,0.0809,ok,0.1888,0.1619,12
True,48,0.0808,ok,0.1887,0.1619,13
True,14,0.0805,ok,0.1877,0.1614,14
True,24,0.0809,ok,0.1887,0.1616,15
True,24,0.0808,ok,0.1886,0.1615,16
True,14,0.0802,ok,0.1874,0.1608,17
True,14,0.08,ok,0.1855,0.1602,18
True,14,0.0805,ok,0.1877,0.1615,19
True,23,0.081,ok,0.1886,0.1618,20
