early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,24,0.1704,ok,0.1746,0.1684,1
True,11,0.1666,ok,0.1754,0.1672,2
True,12,0.1214,ok,0.171,0.1204,3
True,19,0.0223,ok,0.0349,0.0221,4
True,15,0.1705,ok,0.1759,0.1688,5
True,12,0.1129,ok,0.1672,0.1132,6
True,13,0.17,ok,0.1746,0.169,7
True,12,0.1695,ok,0.1754,0.1686,8
True,13,0.1697,ok,0.1757,0.1683,9
True,15,0.1707,ok,0.1759,0.169,10
True,13,0.1702,ok,0.1754,0.1688,11
True,12,0.1701,ok,0.1738,0.1681,12
True,11,0.1374,ok,0.1658,0.1359,13
True,12,0.1698,ok,0.1746,0.1685,14
True,15,0.1706,ok,0.1759,0.1689,15
True,13,0.1698,ok,0.1748,0.1691,16
True,12,0.1698,ok,0.1743,0.1682,17
True,12,0.0538,ok,0.0788,0.0526,18
True,21,0.1707,ok,0.1738,0.1684,19
True,15,0.1706,ok,0.1759,0.1689,20
