best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.1585,1,1,0.0004980865655794709,0,367.8642234802246,1,0.1585
0.1648,3,1,0.0004971842870863907,0,331.6894097328186,1,0.1648
0.1698,5,1,0.0004953833632572685,0,309.14317083358765,1,0.1698
0.1698,10,1,0.00048700589218166914,5,279.78448247909546,1,0.1697
0.1698,15,1,0.0004732774830815035,10,264.4092049598694,1,0.1689
0.0916,1,1,0.0015748270695998153,0,351.2726192474365,2,0.0916
0.1673,2,1,0.001573756827161185,0,314.7474322319031,2,0.1673
0.1673,3,1,0.001571974287185242,1,294.16838026046753,2,0.1436
0.1673,10,1,0.0015397927088638427,8,248.9968729019165,2,0.0472
0.1673,12,1,0.001524408780283069,10,241.51564025878906,2,0.0462
0.1588,1,1,0.0005082181341378047,0,367.52970457077026,3,0.1588
0.1652,3,1,0.0005072975024165046,0,331.06079959869385,3,0.1652
0.1698,5,1,0.000505459946032915,0,308.3913736343384,3,0.1698
0.1698,10,1,0.0004969120689909367,5,279.0798225402832,3,0.1696
0.1698,15,1,0.00048290441060438777,10,263.7732410430908,3,0.1689
0.0145,1,1,0.0002927156483244211,0,377.19109201431274,4,0.0145
0.1655,3,1,0.00029218539705421495,0,343.0682168006897,4,0.1655
0.1692,10,1,0.00028620375516838855,0,299.19164085388184,4,0.1692
0.1692,20,1,0.00026712596802920546,10,271.8526258468628,4,0.1686
0.1624,1,1,0.0009251975392317438,0,358.709433555603,5,0.1624
0.1705,3,1,0.0009235215537722116,0,311.1488184928894,5,0.1705
0.1705,10,1,0.0009046151496048524,7,261.1985068321228,5,0.129
0.1705,13,1,0.0008904719689988605,10,251.43218803405762,5,0.1027
0.1623,1,1,0.0009260630237012968,0,358.6969985961914,6,0.1623
0.1704,3,1,0.000924385470425893,0,311.1181712150574,6,0.1704
0.1704,10,1,0.0009054613800904581,7,261.1748728752136,6,0.1284
0.1704,13,1,0.0008913049691172793,10,251.40724325180054,6,0.102
0.059,1,1,0.0036637703346029072,0,343.052695274353,7,0.059
0.0749,2,1,0.0036612804596362013,0,299.7876944541931,7,0.0749
