best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.1565,1,1,0.0008197082675768743,0,359.40512228012085,1,0.1565
0.1672,3,1,0.0008173771751960281,0,310.28290462493896,1,0.1672
0.1679,4,1,0.000815341501174507,0,297.0941319465637,1,0.1679
0.1679,10,1,0.0007912054003947082,6,261.42101669311523,1,0.1299
0.1679,12,1,0.0007787762841044296,8,254.78956174850464,1,0.0928
0.0598,1,1,0.004998221143761429,0,334.3255124092102,2,0.0598
0.0598,3,1,0.00498400716582944,2,275.4658012390137,2,0.0474
0.0598,9,1,0.004857425371104638,8,243.5688614845276,2,0.0457
0.072,1,1,0.0003598719223508229,0,373.2698941230774,3,0.072
0.1648,3,1,0.0003588485159397197,1,336.4156103134155,3,0.1606
0.1691,10,1,0.0003473584684659695,0,287.4313774108887,3,0.1691
0.1697,12,1,0.00034190178326535934,0,280.21528005599976,3,0.1697
0.1697,20,1,0.0003114068160802469,8,261.8621869087219,3,0.1684
0.1612,1,1,0.0005198149989511885,0,366.73640727996826,4,0.1612
0.1623,3,1,0.0005183367452462617,0,325.73415184020996,4,0.1623
0.1689,8,1,0.0005082579108243011,0,283.3732533454895,4,0.1689
0.1689,10,1,0.0005017400100064003,2,274.9194984436035,4,0.1683
0.1689,16,1,0.0004742100762733589,8,257.8436999320984,4,0.1631
0.0271,1,1,0.00024991105718807146,0,379.71973991394043,5,0.0271
0.1666,3,1,0.000249200358291472,0,342.9462208747864,5,0.1666
0.1687,10,1,0.00024122115865692322,0,300.68117332458496,5,0.1687
0.1707,20,1,0.00021625473338906034,0,274.48853826522827,5,0.1707
0.1707,28,1,0.00018717386854929008,8,263.1661443710327,5,0.1704
