early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,6,0.1667,ok,0.1683,0.1657,1
True,6,0.152,ok,0.1694,0.1488,2
True,6,0.1642,ok,0.1732,0.1632,3
True,10,0.1689,ok,0.1751,0.168,4
,,0.0,fail,,,5
,,0.0,fail,,,6
,,0.0,fail,,,7
,,0.0,fail,,,8
,,0.0,fail,,,9
True,16,0.1694,ok,0.1738,0.1684,10
True,6,0.167,ok,0.1683,0.1666,11
True,8,0.1696,ok,0.1746,0.169,12
,,0.0,fail,,,13
True,12,0.1671,ok,0.1708,0.1665,14
True,9,0.1663,ok,0.168,0.1651,15
,,0.0,fail,,,16
True,6,0.1482,ok,0.1729,0.1471,17
True,6,0.1659,ok,0.1716,0.1667,18
,,0.0,fail,,,19
,,0.0,fail,,,20
