best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.1378,1,1,0.002692877617942547,0,339.0420308113098,1,0.1378
0.1378,3,1,0.002636398602987105,2,278.46545457839966,1,0.05
0.1378,5,1,0.002526081469043621,4,261.3833122253418,1,0.046
0.1129,1,1,0.00034907672825181164,0,373.59793519973755,2,0.1129
0.1664,3,1,0.0003417553744612914,1,337.11939239501953,2,0.1598
0.1693,10,1,0.000266274329410217,0,290.43426179885864,2,0.1693
0.1693,14,1,0.0002010268781022033,4,279.086811542511,2,0.1684
0.0447,1,1,0.00014960431210791927,0,386.78737926483154,4,0.0447
0.1657,3,1,0.00014646658905483916,0,350.1080207824707,4,0.1657
0.1671,8,1,0.00012619857422277336,0,328.7293367385864,4,0.1671
0.1671,10,1,0.00011411756974723583,2,321.8057351112366,4,0.1668
0.1671,12,1,0.00010055816285072242,4,316.02824687957764,4,0.1664
0.1578,1,1,0.00034907672825181164,0,372.8005838394165,5,0.1578
0.1669,3,1,0.0003417553744612914,1,336.0327835083008,5,0.1666
0.1681,5,1,0.0003274550052463953,0,316.24535608291626,5,0.1681
0.1681,9,1,0.00028088696279457523,4,292.13244009017944,5,0.1671
0.0298,1,1,0.00014960431210791927,0,386.79116344451904,6,0.0298
0.1609,3,1,0.00014646658905483916,0,350.13328742980957,6,0.1609
0.1674,6,1,0.00013623628193513092,0,337.008572101593,6,0.1674
0.1674,10,1,0.00011411756974723583,4,320.3148465156555,6,0.1666
0.148,1,1,0.002692877617942547,0,338.2171263694763,8,0.148
0.148,3,1,0.002636398602987105,2,277.33854818344116,8,0.0729
0.148,5,1,0.002526081469043621,4,259.8155698776245,8,0.0519
0.1378,1,1,0.00034907672825181164,0,373.3952794075012,9,0.1378
0.168,2,1,0.00034631773752433865,0,344.8317356109619,9,0.168
0.168,3,1,0.0003417553744612914,1,335.5827670097351,9,0.1662
0.168,6,1,0.0003178846578486389,4,308.61426305770874,9,0.1675
0.1442,1,1,0.002692877617942547,0,341.00656032562256,10,0.1442
0.1442,3,1,0.002636398602987105,2,280.44709968566895,10,0.0517
0.1442,5,1,0.002526081469043621,4,263.9955086708069,10,0.0468
0.1336,1,1,0.00034907672825181164,0,373.81681966781616,11,0.1336
0.1669,3,1,0.0003417553744612914,1,337.94184255599976,11,0.1654
0.1682,10,1,0.000266274329410217,0,291.7556209564209,11,0.1682
0.1687,16,1,0.00016701933554293954,0,277.2042374610901,11,0.1687
0.1687,20,1,0.0001041130372054248,4,272.2861371040344,11,0.1681
0.0472,1,1,0.00034907672825181164,0,374.15957975387573,14,0.0472
0.1671,2,1,0.00034631773752433865,0,346.5549702644348,14,0.1671
0.1671,3,1,0.0003417553744612914,1,338.30145835876465,14,0.1643
0.1671,6,1,0.0003178846578486389,4,312.0711989402771,14,0.1665
0.1207,1,1,0.00034907672825181164,0,373.9209394454956,17,0.1207
0.1676,3,1,0.0003417553744612914,1,336.5958762168884,17,0.1664
0.1691,10,1,0.000266274329410217,0,290.20030784606934,17,0.1691
0.1698,13,1,0.00021798066445706047,0,281.3562259674072,17,0.1698
0.1698,17,1,0.00015036428668164774,4,273.7840347290039,17,0.1694
0.1632,1,1,0.0007978896645755696,0,358.9475841522217,18,0.1632
0.168,3,1,0.0007811551416258089,0,309.8680257797241,18,0.168
0.1688,4,1,0.0007667271510815446,0,296.4160866737366,18,0.1688
0.1688,8,1,0.000673059062521458,4,268.14867877960205,18,0.1669
0.1488,1,1,0.002692877617942547,0,338.87289333343506,19,0.1488
0.1495,2,1,0.0026715939751877555,0,294.6287064552307,19,0.1495
0.1495,3,1,0.002636398602987105,1,277.1258969306946,19,0.0611
0.1495,6,1,0.002452253074832357,4,252.7034296989441,19,0.0465
0.1655,1,1,0.0007978896645755696,0,360.1113648414612,20,0.1655
0.1673,3,1,0.0007811551416258089,0,313.1151647567749,20,0.1673
0.1687,4,1,0.0007667271510815446,0,300.0703377723694,20,0.1687
0.1687,8,1,0.000673059062521458,4,272.03744411468506,20,0.1656
