best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.168,1,1,0.0004986810403597309,0,354.58239459991455,1,0.168
0.168,3,1,0.0004882219635161306,2,306.00389766693115,1,0.1648
0.1687,4,1,0.00047920446942596533,0,292.3376564979553,1,0.1687
0.1687,8,1,0.0004206619140759113,4,260.8685140609741,1,0.1673
0.0331,1,1,9.97362080719462e-05,0,383.6957492828369,2,0.0331
0.1675,3,1,9.764439270322611e-05,0,346.6374206542969,2,0.1675
0.1682,4,1,9.584089388519307e-05,0,340.466082572937,2,0.1682
0.1682,8,1,8.413238281518225e-05,4,326.56498765945435,2,0.168
0.1681,1,1,0.0004986810403597309,0,355.97377252578735,3,0.1681
0.1681,3,1,0.0004882219635161306,2,309.1104483604431,3,0.1633
0.1689,6,1,0.0004541209397837698,0,278.2151942253113,3,0.1689
0.1689,10,1,0.0003803918991574528,4,256.25509786605835,3,0.1664
0.1585,1,1,0.00024934052017986546,0,368.1015577316284,4,0.1585
0.1683,2,1,0.00024736981251738475,0,339.984655380249,4,0.1683
0.1683,3,1,0.0002441109817580653,1,330.92357635498047,4,0.1677
0.1683,6,1,0.0002270604698918849,4,303.3712010383606,4,0.1675
0.168,1,1,0.0004986810403597309,0,357.3456540107727,5,0.168
0.168,3,1,0.0004882219635161306,2,312.1976342201233,5,0.1634
0.1695,5,1,0.0004677928646377076,0,288.75224351882935,5,0.1695
0.1695,9,1,0.00040126708970653606,4,265.6262059211731,5,0.1674
0.1673,1,1,0.00034907672825181164,0,362.5908246040344,6,0.1673
0.1678,3,1,0.0003417553744612914,1,322.8826832771301,6,0.1675
0.1703,10,1,0.000266274329410217,0,272.40012979507446,6,0.1703
0.1703,14,1,0.0002010268781022033,4,259.71026945114136,6,0.1683
0.1545,1,1,0.0011968344968633542,0,342.2131567001343,7,0.1545
0.1677,2,1,0.0011873751000834466,0,300.7138237953186,7,0.1677
0.1677,3,1,0.0011717327124387133,1,280.66046953201294,7,0.1415
0.1677,6,1,0.0010898902554810474,4,246.44672918319702,7,0.1249
0.168,1,1,0.0004986810403597309,0,356.5542116165161,8,0.168
0.168,3,1,0.0004882219635161306,2,310.23534059524536,8,0.1633
0.1698,6,1,0.0004541209397837698,0,279.41012239456177,8,0.1698
0.1698,10,1,0.0003803918991574528,4,257.9991354942322,8,0.1666
0.1452,1,1,0.00024934052017986546,0,368.8303151130676,9,0.1452
0.1682,3,1,0.0002441109817580653,1,332.4020791053772,9,0.1677
0.1704,10,1,0.0001901959495787264,0,285.01617193222046,9,0.1704
0.1704,14,1,0.0001435906272158595,4,273.6687116622925,9,0.1696
0.1507,1,1,0.0011968344968633542,0,343.08198833465576,10,0.1507
0.1677,2,1,0.0011873751000834466,0,302.1719045639038,10,0.1677
0.1677,3,1,0.0011717327124387133,1,282.0524106025696,10,0.146
0.1677,6,1,0.0010898902554810474,4,249.40514469146729,10,0.1553
