early_stopped,epochs_run,mid_1.alpha_effective,mid_1.alpha_value,mid_1.condition_norm,mid_1.cv_usage,mid_1.dead_expert_frac,mid_1.entropy_mean,mid_1.expert_similarity_max,mid_1.expert_similarity_mean,mid_1.factored_group_entropy_mean,mid_1.group_cv_usage,mid_1.group_entropy_mean,mid_1.group_n_eff,mid_1.group_top1_max_frac,mid_1.moe_delta_norm,mid_1.n_eff,mid_1.residual_delta_norm,mid_1.route_consistency_feature_group_knn_exposure_js,mid_1.route_consistency_feature_group_knn_exposure_score,mid_1.route_consistency_feature_group_knn_focus_js,mid_1.route_consistency_feature_group_knn_focus_score,mid_1.route_consistency_feature_group_knn_mean_js,mid_1.route_consistency_feature_group_knn_mean_score,mid_1.route_consistency_feature_group_knn_memory_js,mid_1.route_consistency_feature_group_knn_memory_score,mid_1.route_consistency_feature_group_knn_tempo_js,mid_1.route_consistency_feature_group_knn_tempo_score,mid_1.route_consistency_group_knn_js,mid_1.route_consistency_group_knn_score,mid_1.route_consistency_intra_group_knn_mean_js,mid_1.route_consistency_intra_group_knn_mean_score,mid_1.route_consistency_knn_js,mid_1.route_consistency_knn_score,mid_1.route_jitter_adjacent,mid_1.route_jitter_session,mid_1.shared_delta_norm,mid_1.stage_delta_norm,mid_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1687,ok,0.174,0.1683,1
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1682,ok,0.1702,0.1664,2
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1689,ok,0.177,0.1686,3
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1683,ok,0.1688,0.1664,4
True,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1695,ok,0.1751,0.1685,5
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1703,ok,0.1759,0.1689,6
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1677,ok,0.1735,0.1681,7
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1698,ok,0.1768,0.1689,8
True,14,1.0,1.0,0.0,0.4094943404197693,0.0,2.6122728617962925,0.4725382924079895,0.05835342034697533,0.0,0.2281881043559082,1.3383175669663583,3.8020291655869234,0.4233542756336851,4.60818105036855,13.702319571841716,4.60818105036855,0.03212444983380042,0.9683860590957114,0.010580973582224804,0.9894748080042313,0.021065843713892113,0.9791844020473446,0.018324247709623685,0.9818426205180216,0.02323370372991955,0.9770341205714143,0.0005743378600949249,0.9994258270403228,0.0030022451306769274,0.997004010719293,0.0038300635806205264,0.9961772617577406,0.0,0.0,9.428902197652198,4.60818105036855,0.33601559840302064,0.1704,ok,0.1765,0.1687,9
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1677,ok,0.1738,0.1679,10
