early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1688,ok,0.1738,0.1676,1
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1687,ok,0.1746,0.1679,2
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1686,ok,0.1735,0.168,3
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,ok,0.1748,0.1682,4
True,6,1.0,1.0,0.0,0.49601838040132756,0.0,2.657363204481446,0.5210745930671692,0.3684626519680023,0.0,0.2619239698748104,1.345375559020148,3.743201019265624,0.9550307944662808,8.415067908817909,12.840737148473847,8.415067908817909,0.004589800427202771,0.9954207166102579,0.0065974975719238415,0.9934242181325017,0.005815099569867942,0.9942024740384575,0.007342394537981696,0.9926844949893732,0.004730705742363457,0.995280466421697,0.0006737282716801607,0.9993264986322518,0.0011269906639987707,0.9988739845356002,0.0019997075513318494,0.9980022905317311,0.0,0.0,9.404098416598417,8.415067908817909,0.9460245736746,0.1694,ok,0.174,0.1678,5
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1689,ok,0.1735,0.1673,6
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1687,ok,0.174,0.1678,7
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1679,ok,0.1743,0.1683,8
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1689,ok,0.1746,0.1681,9
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1687,ok,0.1721,0.1674,10
