early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,ok,0.1768,0.1686,1
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1706,ok,0.1732,0.1686,2
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1709,ok,0.1776,0.1698,3
True,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1688,ok,0.1708,0.1677,4
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1705,ok,0.177,0.1698,5
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1703,ok,0.1773,0.17,6
True,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1697,ok,0.1746,0.168,7
True,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,ok,0.1773,0.1696,8
True,11,1.0,1.0,0.0,0.3220449878004186,0.0,2.011461847358485,0.3402518928050995,0.19414031505584717,0.0,0.30629936762054716,0.6354350830599487,1.8284552449463105,0.9554640834390765,5.641990854490855,7.248261646045332,5.641990854490855,0.0,1.0,0.0,1.0,0.0,1.0,0.0003992052570314899,0.999600874414785,0.00012035258653350712,0.9998796558906722,0.0005037926468991075,0.999496334235308,0.0,0.0,8.99486076986077,5.641990854490855,0.7455665253319304,0.1711,ok,0.1765,0.1693,9
True,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1707,ok,0.1762,0.1683,10
