best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.1126,1,1,0.00014960431210791927,0,376.3230447769165,1,0.1126
0.1674,3,1,0.00014646658905483916,0,336.5927324295044,1,0.1674
0.1692,10,1,0.00011411756974723583,1,299.87170219421387,1,0.1692
0.17,16,1,7.157971523268837e-05,0,285.03559160232544,1,0.17
0.17,20,1,4.46198730880392e-05,4,279.9620032310486,1,0.1696
0.1668,1,1,0.0004986810403597309,0,354.66370248794556,2,0.1668
0.1698,3,1,0.0004882219635161306,0,306.33591985702515,2,0.1698
0.17,5,1,0.0004677928646377076,0,283.8538269996643,2,0.17
0.17,9,1,0.00040126708970653606,4,259.39197540283203,2,0.1685
0.1614,1,1,0.0002672326881547923,0,365.8701448440552,3,0.1614
0.1682,3,1,0.00026162788870519495,0,326.2176671028137,3,0.1682
0.1699,10,1,0.00020384402360840468,0,278.22990369796753,3,0.1699
0.1699,14,1,0.00015389439821913634,4,266.2285327911377,3,0.1692
0.164,1,1,0.00034907672825181164,0,360.8849239349365,4,0.164
0.1687,3,1,0.0003417553744612914,0,318.1448531150818,4,0.1687
0.1696,5,1,0.0003274550052463953,0,295.8505206108093,4,0.1696
0.1696,9,1,0.00028088696279457523,4,272.52740383148193,4,0.1691
0.1663,1,1,0.0007978896645755696,0,347.22498416900635,5,0.1663
0.1701,3,1,0.0007811551416258089,0,291.21148014068604,5,0.1701
0.1701,7,1,0.0007013583770923271,4,253.9497504234314,5,0.1687
