best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0544,1,1,0.0007284175856142382,0,373.75224351882935,1,0.0544
0.0704,3,1,0.0007270980649387177,0,330.5076575279236,1,0.0704
0.0802,10,1,0.000712212857518397,0,275.27163219451904,1,0.0802
0.0809,12,1,0.0007050972037870215,0,267.91412115097046,1,0.0809
0.0809,22,1,0.0006518774684708286,10,246.4750018119812,1,0.0799
0.0321,1,1,0.0003274833170540006,0,384.7674894332886,2,0.0321
0.0668,3,1,0.00032689008452327253,0,353.6492214202881,2,0.0668
0.0778,10,1,0.00032019796561055726,0,303.36873292922974,2,0.0778
0.0805,21,1,0.00029602156350071776,0,270.6123676300049,2,0.0805
0.0805,31,1,0.00026180494879665347,10,255.8944125175476,2,0.0804
0.0343,1,1,0.0002823176146447535,0,386.19670963287354,3,0.0343
0.0676,3,1,0.00028180619930148824,0,354.75636768341064,3,0.0676
0.077,10,1,0.00027603704114908905,0,306.53810691833496,3,0.077
0.0804,24,1,0.00024727600017196574,0,267.314236164093,3,0.0804
0.0804,34,1,0.00021532217005156817,10,253.32599067687988,3,0.08
0.0611,1,1,0.00131381570413692,0,364.2155394554138,4,0.0611
0.078,3,1,0.0013114357410228086,0,304.9199938774109,4,0.078
0.08,7,1,0.0012995838032211352,0,264.57437324523926,4,0.08
0.08,10,1,0.0012845879278255725,3,249.6485571861267,4,0.079
0.08,17,1,0.001230131767907713,10,223.39307165145874,4,0.0775
0.0221,1,1,0.000242565031931997,0,389.57003116607666,5,0.0221
0.0633,3,1,0.00024212562796768628,0,358.89444065093994,5,0.0633
0.0744,10,1,0.0002371688135187602,0,317.36824464797974,5,0.0744
0.0806,31,1,0.00019391743779834572,0,271.7116765975952,5,0.0806
0.0806,41,1,0.0001625343437886608,10,262.6539525985718,5,0.0803
